country,quarter,profit_margin
indonesia,1999Q1,9.087599754333496
indonesia,1999Q2,9.025500118732452
indonesia,1999Q3,0.0775749683380127
indonesia,1999Q4,11.232375264167786
indonesia,2000Q1,11.717424869537354
indonesia,2000Q2,10.23057496547699
indonesia,2000Q3,2.4127999544143677
indonesia,2000Q4,-6.935450255870819
indonesia,2001Q1,7.329275131225586
indonesia,2001Q2,11.415774822235107
indonesia,2001Q3,-18.788774132728577
indonesia,2001Q4,12.402824640274048
indonesia,2002Q1,27.459349870681763
indonesia,2002Q2,9.474775075912476
indonesia,2002Q3,5.514275044202805
indonesia,2002Q4,9.66474997997284
indonesia,2003Q1,13.28100037574768
indonesia,2003Q2,8.782400131225586
indonesia,2003Q3,10.372824668884277
indonesia,2003Q4,14.436875104904175
indonesia,2004Q1,13.53647530078888
indonesia,2004Q2,14.114824771881104
indonesia,2004Q3,23.000550150871277
indonesia,2004Q4,13.961549758911133
indonesia,2005Q1,13.252549648284912
indonesia,2005Q2,12.547574758529663
indonesia,2005Q3,8.292249917984009
indonesia,2005Q4,7.401799917221069
indonesia,2006Q1,12.454149723052979
indonesia,2006Q2,13.533050298690796
indonesia,2006Q3,10.255574703216553
indonesia,2006Q4,6.084524843841791
indonesia,2007Q1,21.489800214767456
indonesia,2007Q2,30.716950178146362
indonesia,2007Q3,23.892800331115723
indonesia,2007Q4,20.340224981307983
indonesia,2008Q1,21.83622455596924
indonesia,2008Q2,27.746150255203247
indonesia,2008Q3,10.184750199317932
indonesia,2008Q4,16.050825595855713
indonesia,2009Q1,15.609475135803223
indonesia,2009Q2,27.331249952316284
indonesia,2009Q3,23.11547541618347
indonesia,2009Q4,24.465400218963623
indonesia,2010Q1,24.128899812698364
indonesia,2010Q2,20.265125036239624
indonesia,2010Q3,28.176950454711914
indonesia,2010Q4,26.40157461166382
indonesia,2011Q1,18.953574657440186
indonesia,2011Q2,18.50564980506897
ivory_coast,2006Q1,27.602912455797195
ivory_coast,2006Q2,38.739587157964706
ivory_coast,2006Q3,27.05783760547638
ivory_coast,2006Q4,17.155674695968628
ivory_coast,2007Q1,36.70455014705658
ivory_coast,2007Q2,36.96127510070801
ivory_coast,2007Q3,32.973775029182434
ivory_coast,2007Q4,26.864924788475037
ivory_coast,2008Q1,28.527275025844574
ivory_coast,2008Q2,24.630787134170532
ivory_coast,2008Q3,18.11957447230816
ivory_coast,2008Q4,-108.4021127820015
ivory_coast,2009Q1,28.947887420654297
ivory_coast,2009Q2,21.37002456188202
ivory_coast,2009Q3,27.326762914657593
ivory_coast,2009Q4,17.71427546441555
ivory_coast,2010Q1,27.544612765312195
ivory_coast,2010Q2,-1.7457874417304993
ivory_coast,2010Q3,-1.9682135581970215
ivory_coast,2010Q4,-85.1724366992712
ivory_coast,2011Q1,11.358400166034698
ivory_coast,2011Q2,5.9012251496315
lebanon,1999Q1,37.45254898071289
lebanon,1999Q2,36.56769943237305
lebanon,1999Q3,35.898101806640625
lebanon,1999Q4,35.22904968261719
lebanon,2000Q1,36.16809844970703
lebanon,2000Q2,34.75484848022461
lebanon,2000Q3,35.453399658203125
lebanon,2000Q4,33.5525016784668
lebanon,2001Q1,38.02080154418945
lebanon,2001Q2,38.43415069580078
lebanon,2001Q3,31.300899505615234
lebanon,2001Q4,31.300899505615234
lebanon,2002Q1,0.9121999740600586
lebanon,2002Q2,0.9121999740600586
lebanon,2002Q3,39.416648864746094
lebanon,2002Q4,41.56005096435547
lebanon,2003Q1,33.66645050048828
lebanon,2003Q2,97.55120086669922
lebanon,2003Q3,50.464900970458984
lebanon,2003Q4,55.94499969482422
lebanon,2004Q1,92.21589660644531
lebanon,2004Q2,96.55760192871094
lebanon,2004Q3,114.04029846191406
lebanon,2004Q4,179.2200927734375
lebanon,2005Q1,110.12514686584473
lebanon,2005Q2,78.0636978149414
lebanon,2005Q3,88.67000198364258
lebanon,2005Q4,75.95599842071533
lebanon,2006Q1,70.4563980102539
lebanon,2006Q2,44.94610023498535
lebanon,2006Q3,49.03880023956299
lebanon,2006Q4,45.102298736572266
lebanon,2007Q1,44.30764961242676
lebanon,2007Q2,48.211501121520996
lebanon,2007Q3,35.27375078201294
lebanon,2007Q4,29.511699676513672
lebanon,2008Q1,47.28334903717041
lebanon,2008Q2,49.23904991149902
lebanon,2008Q3,41.910250663757324
lebanon,2008Q4,31.96190071105957
lebanon,2009Q1,25.40435028076172
lebanon,2009Q2,18.645999908447266
lebanon,2009Q3,32.25825119018555
lebanon,2009Q4,98.13839721679688
lebanon,2010Q2,4.6255998611450195
lebanon,2010Q3,56.36389923095703
lebanon,2010Q4,56.36389923095703
lebanon,2011Q1,25.242300033569336
lebanon,2011Q2,25.242300033569336
malaysia,1999Q1,0.2217250019311905
malaysia,1999Q2,0.35910001397132874
malaysia,1999Q3,0.03112499974668026
malaysia,1999Q4,4.654850006103516
malaysia,2000Q1,0.6274499893188477
malaysia,2000Q2,0.19464999437332153
malaysia,2000Q3,0.6850500106811523
malaysia,2000Q4,0.9812250137329102
malaysia,2001Q1,0.7259500026702881
malaysia,2001Q2,1.6557250022888184
malaysia,2001Q3,1.5591000318527222
malaysia,2001Q4,3.5281999111175537
malaysia,2002Q1,2.100874900817871
malaysia,2002Q2,1.5316749811172485
malaysia,2002Q3,0.46070000529289246
malaysia,2002Q4,2.0267748832702637
malaysia,2005Q1,25.458500146865845
malaysia,2005Q2,28.242324590682983
malaysia,2005Q3,32.27127552032471
malaysia,2005Q4,22.22214984893799
malaysia,2006Q1,27.728275060653687
malaysia,2006Q2,31.625925064086914
malaysia,2006Q3,27.92140007019043
malaysia,2006Q4,20.899925231933594
malaysia,2007Q1,31.099199771881104
malaysia,2007Q2,30.97842502593994
malaysia,2007Q3,35.50417470932007
malaysia,2007Q4,18.553974628448486
malaysia,2008Q1,33.735774517059326
malaysia,2008Q2,38.488850593566895
malaysia,2008Q3,29.523924827575684
malaysia,2008Q4,25.61382555961609
malaysia,2009Q1,30.270225524902344
malaysia,2009Q2,28.644100189208984
malaysia,2009Q3,26.58377504348755
malaysia,2009Q4,29.968850135803223
malaysia,2010Q1,29.158625602722168
malaysia,2010Q2,33.005399227142334
malaysia,2010Q3,26.56037425994873
malaysia,2010Q4,24.726375579833984
malaysia,2011Q1,33.190349102020264
malaysia,2011Q2,30.96092462539673
mexico,2008Q1,0.2091065919958055
mexico,2008Q2,10.917337566614151
mexico,2008Q3,-2.640831381082535
mexico,2008Q4,-44.54260864853859
mexico,2009Q1,-15.52508202008903
mexico,2009Q2,-10.538549691438675
mexico,2009Q3,2.1662871837615967
mexico,2009Q4,9.814768806099892
mexico,2010Q1,-0.7476439327001572
mexico,2010Q2,11.101419031620026
