countryname,bankname,bankname_sbs,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
peru,interbank,Interbank,market,2010-07-31,2010,7,17303820.597,15846477.047,1457343.56,15352201.397,494275.65,35009.52299999999,128144.97699999996,0.2732024603664332
peru,interbank,Interbank,market,2010-08-31,2010,8,17501222.388,15995177.746,1506044.643,15500773.113,494404.633,62281.22600000002,156868.58700000006,0.3970280295824938
peru,interbank,Interbank,market,2010-09-30,2010,9,17189755.083,15627175.958,1562579.126,15133430.565,493745.393,60131.97200000001,149792.70099999988,0.4014345932649953
peru,interbank,Interbank,market,2010-10-31,2010,10,18250176.784,16626781.524,1623395.261,16136804.001,489977.523,41443.13299999997,126338.19200000004,0.3280332917855905
peru,interbank,Interbank,market,2010-11-30,2010,11,17863689.621,16216014.167,1647675.457,15723052.495,492961.672,40130.99300000002,120340.85199999996,0.3334777204336232
peru,interbank,Interbank,market,2010-12-31,2010,12,18138715.896,16445988.807,1692727.092,15953034.276,492954.531,68203.01855999994,165188.27032999997,0.4128805176284574
peru,interbank,Interbank,market,2011-01-31,2011,1,18411556.969,16697956.262,1713600.708,16210290.78,487665.482,40102.78586,134340.80344999998,0.2985153045844762
peru,interbank,Interbank,market,2011-02-28,2011,2,18321400.34,16569747.959,1751652.383,16079515.818,490232.141,39383.88487,122022.71818000004,0.322758626077346
peru,interbank,Interbank,market,2011-03-31,2011,3,18919679.471,17384178.459,1535501.01,16891192.121,492986.338,46464.25153000001,122690.24778,0.3787118566531597
peru,interbank,Interbank,market,2011-04-30,2011,4,19960102.245,18399324.435,1560777.81,17908671.875,490652.56000000006,39353.30201,130601.92651000002,0.3013225230409351
peru,interbank,Interbank,market,2011-05-31,2011,5,19442629.069,17828068.568,1614560.507,17340807.793,487260.775,45084.06717999998,135063.79598999996,0.3337983124903285
peru,interbank,Interbank,market,2011-06-30,2011,6,19438194.998,17831176.386,1607018.612,17371832.806,459343.58,40573.85676000002,133253.00467000005,0.3044873686749566
peru,interbank,Interbank,market,2011-07-31,2011,7,19044254.142,17352819.138,1691435.006,16895835.499,456983.639,48042.08599999995,127283.57464,0.3774413637885237
peru,interbank,Interbank,market,2011-08-31,2011,8,18518812.938,16789155.038,1729657.901,16330522.035999998,458633.002,49742.45722000004,137685.43487,0.3612761020580421
peru,interbank,Interbank,market,2011-09-30,2011,9,18703946.14,16927386.279,1776559.861,16465886.034,461500.245,65866.66531000001,125992.24465999984,0.5227834894738678
peru,interbank,Interbank,market,2011-10-31,2011,10,18867640.141,16998810.862,1868829.279,16541418.521,457392.341,40233.24233999994,132498.03926,0.3036516054479155
peru,interbank,Interbank,market,2011-11-30,2011,11,19276769.338,17374211.504,1902557.835,16934552.981000002,439658.523,39425.70893000002,133144.26651,0.2961127051388195
peru,interbank,Interbank,market,2011-12-31,2011,12,19508424.001,17552866.63,1955557.37,17111422.608999997,441444.021,46655.65898999997,137551.27103000018,0.3391874072892011
peru,interbank,Interbank,market,2012-01-31,2012,1,20147980.866,18128703.41,2019277.454,17689010.876000002,439692.534,46906.24407,138945.87247,0.337586451732329
peru,interbank,Interbank,market,2012-02-29,2012,2,19472353.971,17390397.358,2081956.612,16950122.175,440275.183,47244.60147000001,140711.42395000003,0.3357552652355203
peru,interbank,Interbank,market,2012-03-31,2012,3,20486373.565,18558028.845,1928344.72,18118638.955,439389.89,48368.371580000006,148103.96074,0.326583916718553
peru,interbank,Interbank,market,2012-04-30,2012,4,20972541.167,18994594.332,1977946.834,18559695.576,434898.756,54280.84824999998,154961.8883,0.3502851497583357
peru,interbank,Interbank,market,2012-05-31,2012,5,22156839.096,20154333.251,2002505.843,19714352.834,439980.417,48462.136750000005,133145.90256999992,0.3639776802333184
peru,interbank,Interbank,market,2012-06-30,2012,6,22609711.573,20547458.068,2062253.504,19970361.767,577096.301,40168.14907999997,142625.50769000011,0.2816336974400567
peru,interbank,Interbank,market,2012-07-31,2012,7,21915001.75,19789484.66,2125517.089,19215964.65,573520.01,59866.09004000004,156755.20874000003,0.3819081389460949
peru,interbank,Interbank,market,2012-08-31,2012,8,21894761.035,19744230.151,2150530.882,19169538.285,574691.8659999999,50192.72317000001,139312.7721399999,0.3602880224044334
peru,interbank,Interbank,market,2012-09-30,2012,9,22797037.343,20582180.107,2214857.237,20007563.354,574616.753,49174.03414,141656.55920000002,0.3471355962456555
peru,interbank,Interbank,market,2012-10-31,2012,10,22656787.249,20395106.73,2261680.519,19824511.272,570595.458,40231.32913999999,143735.70499,0.2798979498016792
peru,interbank,Interbank,market,2012-11-30,2012,11,23250494.1,20934640.991,2315853.108,20362845.27,571795.7209999999,39799.07533999998,137509.98757999996,0.2894267975760368
peru,interbank,Interbank,market,2012-12-31,2012,12,23154953.632,20780561.147,2374392.486,20213324.903,567236.244,45752.33725999994,148429.9747299999,0.3082418988699909
peru,interbank,Interbank,market,2013-01-31,2013,1,23803175.982,21369791.383,2433384.598,20650710.056,719081.3269999999,47541.3394,159145.19959,0.2987293334796087
peru,interbank,Interbank,market,2013-02-28,2013,2,24431402.598,21951007.969,2480394.629,21228468.221,722539.7479999999,43256.5307,154360.52596000003,0.280230521572654
peru,interbank,Interbank,market,2013-03-31,2013,3,25117554.0,22839129.406,2278424.594,22251918.842,587210.564,72990.97377000001,192531.08095,0.3791126783781765
peru,interbank,Interbank,market,2013-04-30,2013,4,24991222.813,22684483.418,2306739.394,22096889.504,587593.914,55733.98816999997,172469.22645000002,0.3231532332880128
peru,interbank,Interbank,market,2013-05-31,2013,5,25962646.554,23633202.122,2329444.432,23035235.720000003,597966.402,72542.01657,199033.45049000008,0.3644714815093088
peru,interbank,Interbank,market,2013-06-30,2013,6,27253031.974,24902082.305,2350949.669,24302376.204,599706.101,41029.40633999999,161064.86329999997,0.2547384047604378
peru,interbank,Interbank,market,2013-07-31,2013,7,27772430.907,25376354.444,2396076.463,24780198.971,596155.473,58068.46795000002,182917.9431800001,0.317456379294938
peru,interbank,Interbank,market,2013-08-31,2013,8,27249032.18,24815804.028,2433228.151,24214898.976,600905.052,50056.513460000046,175030.29000000004,0.2859877193827425
peru,interbank,Interbank,market,2013-09-30,2013,9,28376633.724,25888685.196,2487948.528,25287799.186,600886.01,48737.99222999992,173470.7560899998,0.2809579742922994
peru,interbank,Interbank,market,2013-10-31,2013,10,27711813.397,25144229.073,2567584.324,24588791.882,555437.191,49974.943680000026,176854.9170299999,0.2825759357967004
peru,interbank,Interbank,market,2013-11-30,2013,11,29015514.213,26417065.63,2598448.583,25857249.941,559815.689,49150.53576,174988.81166000012,0.2808781618307034
peru,interbank,Interbank,market,2013-12-31,2013,12,29528773.992,26877134.414,2651639.578,26179534.933,697599.481,58007.60916000011,194471.99899999984,0.2982825777401515
peru,interbank,Interbank,market,2014-01-31,2014,1,31385681.502,28696861.968,2688819.534,28000183.685,696678.2829999999,50461.5786,190690.58005,0.2646254397399636
peru,interbank,Interbank,market,2014-02-28,2014,2,31147745.284,28404478.21,2743267.074,27705945.256,698532.954,48450.15630000001,178839.79974000002,0.2709137248556393
peru,interbank,Interbank,market,2014-03-31,2014,3,31623602.673,29101059.737,2522542.935,27554948.653,1546111.084,63063.90414999999,193819.85856,0.3253738013149853
