countryname,bankname,bankname_cnbv,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
mexico,banco_bajio,Banco del Bajío,market,2021-04-30,2021,4,288222.17043648,254034.15489642,34188.01554006,251028.81739642,3005.3375,340.63325754000005,859.5988629200001,0.396270018765371
mexico,banco_bajio,Banco del Bajío,market,2021-05-31,2021,5,288752.50862563,254209.53524279,34542.97338284,251203.05087613,3006.48436666,352.4679517699999,908.7341692499996,0.3878669513009512
mexico,banco_bajio,Banco Del Bajío,market,2021-06-30,2021,6,275406.52650792,240443.08548554,34963.44102238,240443.08548554,0.0,376.90573021,871.6539191700003,0.432402954797581
mexico,banco_bajio,Banco del Bajío,market,2021-07-31,2021,7,268031.95637945,232703.5618043,35328.39457515,232703.5618043,0.0,383.9728706400001,939.53132972,0.4086855419227287
mexico,banco_bajio,Banco del Bajío,market,2021-08-31,2021,8,272519.7345915,236754.9860712,35764.7485203,236754.9860712,0.0,414.5910125099999,961.4171466999996,0.4312290600735133
mexico,banco_bajio,Banco del Bajío,market,2021-09-30,2021,9,271472.74465312,235208.08427564,36264.66037748,235208.08427564,0.0,451.3189428199999,951.6412671800008,0.4742532279599366
mexico,banco_bajio,Banco del Bajío,market,2021-10-31,2021,10,275682.4283449,238868.44337516,36813.98496974,238868.44337516,0.0,513.1040118600004,991.4262340799996,0.5175412897320985
mexico,banco_bajio,Banco del Bajío,market,2021-11-30,2021,11,278866.14500035,241590.85658373,37275.28841662,241590.85658373,0.0,486.0615795999997,985.0965239599992,0.4934151809267137
mexico,banco_bajio,Banco del Bajío,market,2021-12-31,2021,12,275487.29631046,237657.20687757,37830.08943289,237657.20687757,0.0,542.0731447999997,1083.3342849600012,0.5003747710430987
mexico,banco_bajio,Banco del Bajío,market,2022-01-31,2022,1,277754.98468032,239441.2923446,38313.69233572,239441.2923446,0.0,490.56115435,1081.65099373,0.4535299807365158
mexico,banco_bajio,Banco del Bajío,market,2022-02-28,2022,2,281101.06122634,242280.01934198,38821.04188436,242280.01934198,0.0,455.99675206,1006.56925324,0.4530207440692358
mexico,banco_bajio,Banco del Bajío,market,2022-03-31,2022,3,286149.85219635,246628.82743891,39521.024757440005,246628.82743891,0.0,579.0232204499998,1161.2146747299998,0.4986358104582441
mexico,banco_bajio,Banco del Bajío,market,2022-04-30,2022,4,292762.84050184995,257278.82566813,35484.01483372,257278.82566813,0.0,583.2833172800003,1167.3709096000002,0.4996555186387696
mexico,banco_bajio,Banco del Bajío,market,2022-05-31,2022,5,286574.95907907,250536.40876202,36038.55031705,250536.40876202,0.0,592.0514676600001,1250.06112021,0.4736180160219209
mexico,banco_bajio,Banco del Bajío,market,2022-06-30,2022,6,297960.50421702,261269.10262729,36691.401589730005,261269.10262729,0.0,636.4913340399999,1268.3005126899998,0.5018458383258355
mexico,banco_bajio,Banco del Bajío,market,2022-07-31,2022,7,294460.43845229,257053.66310055,37406.77535174,257053.66310055,0.0,717.1596990799999,1397.346328650001,0.5132297443919001
mexico,banco_bajio,Banco del Bajío,market,2022-08-31,2022,8,295372.050619,261858.39764,33513.652979,261858.39764,0.0,681.7276210799996,1438.832186149999,0.4738062073132754
mexico,banco_bajio,Banco del Bajío,market,2022-09-30,2022,9,295804.501221,261584.361363,34220.139858,261584.361363,0.0,709.5443730000006,1460.7578040000008,0.4857371776875342
mexico,banco_bajio,Banco del Bajío,market,2022-10-31,2022,10,301644.219261,266559.133494,35085.085767,266559.133494,0.0,865.63987,1564.7391599999992,0.5532167227156253
mexico,banco_bajio,Banco del Bajío,market,2022-11-30,2022,11,298381.791427,262450.22105,35931.570377,262450.22105,0.0,843.6216459999996,1591.1026820000006,0.5302119439202851
mexico,banco_bajio,Banco del Bajío,market,2022-12-31,2022,12,310639.444055,273836.960254,36802.4838,273836.960254,0.0,873.3673779999999,1769.7585930000005,0.4934952040659478
mexico,banco_bajio,Banco del Bajío,market,2023-01-31,2023,1,305104.229888,267353.255297,37750.97459,267353.255297,0.0,944.212061,1786.623754,0.5284895932263531
