country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,g_GDP,VIX,JLoss_x_GaR,t
brazil,2022Q1,308.9726935483871,20.099042789977897,-0.0284520540122802,-0.0284520541700029,0.2961296803969806,-0.041901381099296,-0.0745376100069082,0.0186851748948669,-0.272035426244244,0.123370078897348,-0.571859051055582,2022Q1
brazil,2022Q2,300.28159677419353,23.989245086402192,-0.0334440079206746,-0.0334621676365864,0.1973234128983454,-0.0580525841508609,-0.2306560168878087,0.0228617426082219,0.352612084369313,1.17621420770717,-0.8022965026806391,2022Q2
chile,2010Q1,123.0119344262295,2.3169176725892995,0.026632298543548,0.025645451634809,0.0,0.0258646599398112,0.5397799671762097,0.0112860853862407,-0.61598680483831,-0.273474143288191,0.06170484315722062,2010Q1
chile,2010Q2,135.42325396825396,2.169136984661016,-0.0019717419768626,0.0023355329082223,0.1020704884789573,-0.0020480280801433,-0.4575636780867949,0.0182448286212885,0.449268996535445,1.92814838624991,-0.00427697844622129,2010Q2
chile,2010Q3,134.660828125,2.285920980976908,0.046659155966225,0.0467257297898664,0.0,0.0300647368546418,0.3843786639881367,0.011691614320172,0.707841761524059,0.520149081223771,0.1066591435778676,2010Q3
chile,2010Q4,123.74306451612902,2.1661098080724583,0.0523659755155891,0.0525584927419439,0.0,0.0440005390049173,0.6915595966825064,0.0125604431750589,0.696050246046203,-0.25269186572323,0.11343045317359976,2010Q4
chile,2011Q1,114.88329032258065,2.264334099701384,0.0630602249289498,0.0635401800195075,0.0,0.0499924842589452,0.1729527402888566,0.0101220414142316,1.00900631847871,-0.25399075807104,0.14278941764146033,2011Q1
chile,2011Q2,128.04826984126984,2.1854557577389193,0.0540651100507925,0.0543298358464219,0.0,0.0426917792465873,0.4883904986496238,0.0090978096255168,0.412248715760987,-0.412455624503871,0.11815690605329279,2011Q2
chile,2011Q3,149.890125,3.7306599261867963,-0.0119456252358565,-0.0119456250815194,0.2001846572809595,-0.0356139734932112,-0.5014073663863965,0.0151255715010515,-0.00476646122212914,3.021815743106,-0.04456506536065554,2011Q3
chile,2011Q4,162.26839344262297,3.234992530117794,0.0346899580663822,0.0348911215324206,0.0,0.023255511855805,0.2456176612528844,0.0133182972962992,0.239326407076796,0.481182310789469,0.11222175521484593,2011Q4
chile,2012Q1,157.2620483870968,2.1808613593512596,0.0402508514231743,0.0411374820168392,0.0,0.0380056549698262,0.6175544092142156,0.0079221388636678,0.356179379933214,-0.544942643980499,0.08778152654978948,2012Q1
