seed,N,b3,t3,p3,b1,bD,cr_N,cr_b3,cr_t3,cr_p3,b4_bk,sum_bk,sum_bk_p,b4_em,sum_em,sum_em_p,error
141,617,0.23250407414694943,1.3590234315715137,0.17474220624288672,2.720867283589119,6.7861621944085995,617,0.8371345146174398,2.3206336788481674,0.020706453982247686,-0.9384644352793672,-0.10132992066192736,0.19796487770311222,0.2157081704463129,1.0528426850637527,0.002764053877665429,
142,617,0.20464840231567571,1.330790895136383,0.18385482435287082,2.6891721466384726,6.5578752545615355,617,0.7821614107756877,2.2023586378830116,0.028093845099568915,-0.8709015154229182,-0.08874010464723048,0.24748203193247909,0.20722569649628528,0.989387107271973,0.0032641224350928866,
143,617,0.20114332975178698,1.3485161925588292,0.17809330019921044,2.6845750338585415,7.149430232244713,617,0.7731194317186403,2.144796607012094,0.03244841070867688,-0.861072950186205,-0.08795351846756472,0.2651919248666412,0.20698506074602074,0.980104492464661,0.0041038826795523065,
144,617,0.12782199544569342,0.9854398201315362,0.3248771848449272,2.666341169832695,4.817507655000931,617,0.7288813246741228,1.8138694945327156,0.07029472790373781,-0.8169570904012096,-0.08807576572708675,0.2503343396563502,0.23077870926488186,0.9596600339390047,0.00125860012517931,
145,617,0.2462486891911627,1.4478836183568373,0.1482664678477752,2.7082894065561436,7.744730632178192,617,0.8103067703117182,2.33950025551641,0.019700680199101095,-0.9083878987767421,-0.09808112846502393,0.20115435224382572,0.25171920298654465,1.0620259732982629,0.0028699204403037637,
146,617,0.20468887502984262,1.3991840371030324,0.16236808171043493,2.6542894785697273,7.071796641194744,617,0.7194527748977698,2.133475639948778,0.033369924180548294,-0.7961461017508888,-0.07669332685311903,0.2821650997010048,0.2518266543362198,0.9712794292339897,0.0037180580822437914,
147,617,0.2267995898665684,1.3502043659590914,0.17755167667633076,2.7055634741019015,6.978077044668083,617,0.8397543977586697,2.284502839470595,0.022758476013738038,-0.9412391321950613,-0.10148473443639161,0.20308987220849573,0.2063098928493443,1.046064290608014,0.002979612033741752,
148,617,0.21155012496043563,1.4291095680372077,0.15358735800386647,2.6929835470941166,7.11739165142018,617,0.7370840988184436,2.1639093785870878,0.030942249357764018,-0.814138325099342,-0.07705422628089842,0.29364448139337584,0.22118969541142702,0.9582737942298707,0.004675224010622259,
149,617,0.1818829451347079,1.2680300917872804,0.20536804662521835,2.6834171688910757,6.040801610255574,617,0.7444258877054365,2.066990875026236,0.03924708687003853,-0.8271276094140926,-0.08270172170865608,0.26543446303122176,0.21980463818958135,0.9642305258950179,0.0026341846603956665,
150,617,0.17357879575575005,1.1601928574936942,0.24651525296553412,2.704416691257621,6.240252871106148,617,0.8219901915411244,2.051607479799112,0.040726098776678876,-0.922266211785784,-0.10027602024465965,0.24444974306217726,0.18403133334203509,1.0060215248831594,0.0027004488997108833,
151,617,0.20534020649279364,1.2992785339628772,0.1944377060668141,2.713430087806954,7.279357253226945,617,0.8152994975812403,2.1781588028006484,0.02985886916123026,-0.9207597452770244,-0.1054602476957841,0.20403907546667144,0.1984014430932162,1.0137009406744566,0.004056974126071644,
152,617,0.22743307489119038,1.574470581083231,0.1160012423984711,2.6684817836287777,8.276451585586038,617,0.6798327651155054,2.153678524487798,0.03174082011149859,-0.7434834351309839,-0.06365067001547853,0.34533718887295084,0.26818162176903343,0.9480143868845388,0.005603131106595605,
153,617,0.19882754246293488,1.4915136622731588,0.13644738225220476,2.657483069596176,7.353734785260328,617,0.6525153605067585,2.0581985628009174,0.04008670645384571,-0.7147257175324772,-0.06221035702571864,0.3694360052609724,0.22949798478170635,0.8820133452884649,0.007358254267646247,
154,617,0.16107208091648909,1.1109109101866192,0.26713221958858013,2.668522491818841,5.225231100499378,617,0.783187787254496,2.0432690406568312,0.0415474037191621,-0.8766720518359766,-0.09348426458148063,0.236862822558759,0.19481487177607748,0.9780026590305735,0.0016277979262393494,
155,617,0.24419060333253148,1.3250580400819776,0.18574757981203005,2.7322096188388287,6.726396912836559,617,0.8716245732489247,2.3911257443032916,0.01716412413876145,-0.9914123100315158,-0.11978773678259103,0.13924769484537403,0.24359026828496788,1.1152148415338927,0.002622484019650928,
156,617,0.21340013139218908,1.2937954246675645,0.19632401395268673,2.7062645871777224,6.378135299420874,617,0.8333949147506947,2.2807368414813767,0.02298223482520312,-0.9357043970732392,-0.10230948232254444,0.20100489350598805,0.20914363587273108,1.0425385506234257,0.002506779105106549,
157,617,0.1759487097609972,1.334942496007016,0.18249310470741764,2.643252991630599,6.069217279060515,617,0.66945173468435,2.0563232360400905,0.04026775425306006,-0.7390792114309863,-0.06962747674663627,0.29870393064545864,0.2163601839683874,0.8858119186527375,0.0051334138634910875,
158,617,0.22006020163978732,1.438078843684505,0.15102741978669076,2.6931668865108636,6.776139107403215,617,0.7049209348564249,2.2314216763293824,0.02609395484526189,-0.7818562723639174,-0.07693533750749249,0.23800674536773614,0.24762290504875886,0.9525438399051838,0.005848444438813827,
159,617,0.27077972959473046,1.43285696356331,0.15251381085382176,2.7628242892448465,7.269930640594227,617,0.7864658202022705,2.35944813829834,0.01868405422779773,-0.8971889640963062,-0.1107231438940357,0.09456715948934269,0.3446441246234546,1.1311099448257251,0.002749115990340556,
160,617,0.21783990216525925,1.3527291253112421,0.17674394501097535,2.6958096599600423,7.4825109941070735,617,0.817143860704413,2.255532824635262,0.024529667318526238,-0.9177958791744509,-0.10065201847003791,0.21516615492336566,0.22049784918932946,1.0376417098937425,0.0033903111459088198,
161,617,0.2183529290984446,1.1547437917366123,0.24873825715453046,2.8015566085573265,4.232001248753223,617,0.8546523114263993,2.2245560229076338,0.02655491367365559,-0.9815528573020179,-0.1269005458756186,0.12098221634967898,0.26655772484376683,1.121210036270166,0.0010510933909497755,
162,617,0.1866576713183762,1.2694234753224403,0.20487130817818366,2.6755628561561378,5.900424347275974,617,0.7594310810164933,2.134002919592993,0.03332651084316374,-0.8438550072756204,-0.08442392625912709,0.2559455297846678,0.20221775639714443,0.9616488374136377,0.00285367961198868,
163,617,0.2138195546712668,1.2019467093176914,0.22994417223542674,2.7212877948871057,5.8504303148213195,617,0.9001385492244128,2.2605887942967926,0.02421218315219753,-1.0206225414703085,-0.12048399224589568,0.15962472679663553,0.1938978256550872,1.0940363748795001,0.0014993475759981223,
164,617,0.2634769075082617,1.5379819526365581,0.12467563392344316,2.695504308693535,7.776927031004662,617,0.785569150187686,2.382174869387286,0.017582164621043672,-0.8756310041397991,-0.09006185395211308,0.1954979345743315,0.26484084147243697,1.050409991660123,0.003302470104652677,
165,617,0.27422777830721184,1.340779442109775,0.1805912991914993,2.8468771467546468,5.662438247689319,617,0.8417949431545384,2.392273468058447,0.017111158643748903,-0.9708559684228057,-0.12906102526826735,0.06855530499982398,0.35713207956883647,1.1989270227233748,0.001332100180909901,
166,617,0.20170941810514806,1.5894724982426285,0.11257588220438897,2.6999025578147804,8.253790909219534,617,0.6045575947122808,1.987071402189022,0.04745754161017013,-0.6607275717921478,-0.05616997707986704,0.41195219590544285,0.2608585899554287,0.8654161846677095,0.00960738456540855,
167,617,0.27018759996245895,1.4931311304833854,0.13602366454152315,2.7047040003141194,8.848017571772177,617,0.7852834376394487,2.3912400984506816,0.017158840427078603,-0.8960793079090106,-0.11079587026956184,0.12574881804856086,0.2617600774875754,1.047043515127024,0.005074689575577551,
168,617,0.19445240056456758,1.2098230287237854,0.22690948397503896,2.7223291267127565,6.618070985891179,617,0.8643009539019322,2.136224798613641,0.033144105471527574,-0.974791555430694,-0.11049060152876178,0.21556681527909838,0.17814276969443962,1.0424437235963717,0.0027414746090008713,
169,617,0.1893914337223191,1.2873532544492858,0.19855739740735423,2.73434264193798,6.531542362644544,617,0.7736590465296522,2.056387675755359,0.04026152159438512,-0.8630040584496999,-0.08934501192004762,0.25681362417994014,0.21352913395542636,0.9871881804850786,0.0038626930051131048,
170,617,0.26022572068122796,1.2123158874298803,0.22595499839258038,2.9386838323148106,4.002991580543881,617,0.876945496167486,2.3239849058604127,0.02052458740862817,-1.0380334132163977,-0.1610879170489118,0.053054421931865825,0.3717569860537806,1.2487024822212667,0.0012482800819586526,
171,617,0.18852578601434203,1.3920540904517242,0.16451513175245092,2.6758002098051317,6.615223037623,617,0.6908865632166056,2.0361351019119303,0.04226119432142661,-0.7593454539488472,-0.06845889073224165,0.3263972903138681,0.21012252750038343,0.901009090716989,0.005405536247214515,
172,617,0.18299455245328175,1.2324639551504393,0.21834591382443924,2.6767482878335906,6.2894852988657295,617,0.7930926583173762,2.126246027639983,0.03397008289733794,-0.8873727453599932,-0.09428008704261703,0.23728945989988093,0.1887586804274103,0.9818513387447865,0.0029529711661571145,
173,617,0.17564730170735762,1.300470222668266,0.19402950979027822,2.6669091595911056,6.078051037770467,617,0.7037221409964547,2.0295429981750415,0.042929994780548375,-0.7767025256657831,-0.07298038466932844,0.30802670518037534,0.20376948447747034,0.907491625473925,0.0041836719718657545,
174,617,0.18230595137476474,1.386614959407621,0.16616739247591306,2.665036021040018,6.690170650708447,617,0.6745341137307963,2.0096720859775017,0.04500052549919098,-0.7417743908969322,-0.0672402771661359,0.3368907653362325,0.2115098248650894,0.8860439385958857,0.006046798458001268,
175,617,0.21664911555094402,1.2736416522814016,0.20337287893802736,2.703726491950219,6.436640941172934,617,0.8585215775867313,2.3081514646320342,0.021396303069522782,-0.9690853225000896,-0.1105637449133583,0.18308881971104318,0.2061182997556432,1.0646398773423744,0.002100748488175652,
176,617,0.16208412003577327,1.2178935664857131,0.2238297901755688,2.6487334750507245,5.716394724261013,617,0.7163157347187087,1.982813910130854,0.04793283457711328,-0.79276689874816,-0.07645116402945129,0.2889153841907284,0.19594402635760144,0.9122597610763101,0.0031824299434406456,
177,617,0.17618757047298905,1.1645046297914192,0.24476614273246722,2.7006365595888817,5.885951944916601,617,0.8081975319582063,2.072293820872855,0.038747960215469224,-0.9083192353024716,-0.10012170334426529,0.21431536589611033,0.23054239420149386,1.0387399261597001,0.0017729484529604989,
178,617,0.17701904532117632,1.2370691636713296,0.21663295187036757,2.680384310142904,6.003301892289646,617,0.7470407636770224,2.058569281044266,0.04005099867565409,-0.8312282080730594,-0.08418744439603698,0.2658143819096668,0.22503580111372778,0.9720765647907502,0.002401701210640983,
179,617,0.23394278628913506,1.527049325929978,0.12737110408493701,2.6871178379743106,7.253583288799834,617,0.7048940488154168,2.2422799648197294,0.025379092671265147,-0.7759125841792146,-0.07101853536379776,0.2825260432651131,0.24843734398249354,0.9533313927979103,0.004097511256027753,
180,617,0.23844601164584692,1.492866522649534,0.13609291235437038,2.7035771494721557,7.4421031314345365,617,0.7240977618715843,2.232351672945982,0.02603205164743594,-0.7994752443729408,-0.07537748250135656,0.24579010074167407,0.2700779501120906,0.9941757119836749,0.006040082954588577,
181,617,0.1708650762227071,1.3282210604929834,0.1847015000924177,2.6810259193969257,6.615699444504146,617,0.67899043950409,1.950408366769076,0.05168359536551792,-0.7488955521187094,-0.0699051126146194,0.3395913072878365,0.1953156902443191,0.8743061297484092,0.006641339357105203,
182,617,0.1251865038878082,0.9567403859634152,0.33915338606734013,2.662054398624695,4.811861564633077,617,0.7454447278878312,1.7987943005462723,0.0726517635797106,-0.8367270467040909,-0.0912823188162597,0.24693631571124497,0.22102512022925672,0.9664698481170879,0.0010560954615335127,
183,617,0.20158697807480686,1.5622858464694185,0.11884338220396629,2.6689804283825973,8.045403192687546,617,0.6154358278261476,2.037989568008399,0.042074650899065924,-0.6735243347302554,-0.05808850690410783,0.38240791183303724,0.25793334155387987,0.8733691693800274,0.008883570580259237,
184,617,0.21393809018034973,1.324302973537473,0.18599794508162826,2.6833567623527212,6.426865403325532,617,0.8028405025513974,2.248662099035153,0.024966902439005345,-0.8973269660098002,-0.09448646345840284,0.20527581814555163,0.21176130322180048,1.0146018057731978,0.003008292498490883,
185,617,0.24040587129662994,1.424588951162219,0.15489007359307072,2.6761432564852905,7.797007236367052,617,0.8062498308841265,2.353069035106851,0.019004035587744328,-0.9059890185005315,-0.09973918761640499,0.1899818144409422,0.26420236740474656,1.070452198288873,0.0027199143278835436,
186,617,0.24254389165447546,1.3855323357495413,0.16649775270834266,2.7453339856595322,7.711181489393535,617,0.8970498172583539,2.3468335300315517,0.01932144850063877,-1.0041195399412701,-0.10706972268291626,0.2216967599757722,0.18333842490813007,1.0803882421664839,0.0028536945177528583,
187,617,0.21021193124801218,1.26850667170921,0.20519804813827602,2.684128196317465,6.684063844627549,617,0.8491361078220828,2.2813058021001056,0.022948307299086146,-0.9589085107524968,-0.10977240293041401,0.1810554879976225,0.20159086474779367,1.0507269725698765,0.002645542352281316,
188,617,0.17799722085257286,1.321496367701493,0.18693075401605364,2.686551931621937,6.52745704209808,617,0.6920329488422495,1.9604888675997922,0.05049129271128283,-0.7667408384276132,-0.07470788958536367,0.3175296477196232,0.22514883968509214,0.9171817885273417,0.004753274778823258,
189,617,0.21620593105669175,1.28824195405837,0.19824819829984341,2.7017021059734048,5.978278488519128,617,0.8272339343216627,2.2734816497149795,0.023418713356154974,-0.9284559728035071,-0.10122203848184441,0.18661943933777225,0.21491001545025512,1.0421439497719178,0.002069535631290531,
190,617,0.19785550849666897,1.2896871337708804,0.19774614131414814,2.6894750978159867,6.437814941842276,617,0.7843928082470887,2.183244894142448,0.02948017588511731,-0.8774597126625305,-0.09306690441544185,0.23383305415635824,0.21113976074510787,0.9955325689921966,0.002889813777806838,
191,617,0.18256745240332833,1.2445563821583474,0.21386873296498798,2.699410150672206,6.196196892695641,617,0.7654819168168707,2.1068427413743107,0.03562677017424298,-0.8542774786586781,-0.08879556184180737,0.2525950325833759,0.21366453112180486,0.9791464479386756,0.002628892877147626,
192,617,0.22638950709358288,1.2343219198492577,0.21765365077947907,2.7168867477869814,6.306401936847418,617,0.906630207766001,2.358978932323654,0.018707427889540718,-1.0343224308882673,-0.12769222312226625,0.14464943458643176,0.20439068141313718,1.1110208891791382,0.0016704386144739125,
193,617,0.2184480803413786,1.2854806427410743,0.19921007962244208,2.7247540040273215,6.939973371646825,617,0.8871259534628824,2.240397183137295,0.02550181490854153,-0.9962314970982047,-0.10910554363532232,0.21504053178058036,0.18124902429743966,1.068374977760322,0.002268947435886126,
194,617,0.15276228386288634,1.0985694935278238,0.27247627798569884,2.6790128305810974,4.611192574590266,617,0.7305128271260761,1.9796255321522225,0.04829139692199491,-0.8153057705997351,-0.08479294347365895,0.24274840692240818,0.2400030807744977,0.9705159079005738,0.0011710458339793117,
