quarter,VIX,UST10Y,US_HY_spread,UST10Y_log,US_HY_spread_log,OnOffRun_spread,OnOffRun_spread_log
2018Q1,17.354754098360658,2.7500446153846156,3.355161290322581,1.0116171353230998,1.2104998438798955,-0.0195377104399634,-0.0197310945034736
2018Q2,15.3375,2.9210292307692307,3.404375,1.0719360304658483,1.2250613691558019,-0.0031328064203259,-0.0031377239314521
2018Q3,12.856825396825396,2.9194153846153847,3.36640625,1.071383385487187,1.2138457807021752,0.0021492102789496,0.0021469040303558
2018Q4,21.053650793650796,3.038727272727273,3.9967213114754094,1.111438767468363,1.3854743528738598,0.0028426296984564,0.0028385970670328
2019Q1,16.47,2.650646875,4.146721311475409,0.9748037139832372,1.4223179765646337,0.0063639207746165,0.0063437565346719
2019Q2,15.183015873015872,2.3383769230769227,3.7955555555555556,0.8494570660854485,1.3338307915841496,-0.0126111113835892,-0.0126913063942683
2019Q3,15.96015625,1.7921757575757578,3.862769230769231,0.5834303887476368,1.3513843435536939,-0.0095765636116264,-0.0096227137732474
2019Q4,13.98578125,1.7908106060606062,3.693064516129032,0.5826683698937191,1.3064566055605142,-0.0190370932702098,-0.0192206318240188
2020Q1,31.22451612903226,1.3842953846153847,5.094516129032258,0.3251912626132286,1.628164692396817,-0.0390290290309536,-0.0398110775762607
2020Q2,34.493650793650794,0.6813153846153845,6.943650793650794,-0.3837299601931426,1.937827687160741,-0.0427428596723647,-0.043683229443741
2020Q3,25.80890625,0.6453136363636364,5.119375,-0.43801882244332174,1.6330323612877293,-0.0054703110456466,-0.0054853279870465
2020Q4,25.62171875,0.8558590909090908,4.288870967741935,-0.15564952981463098,1.4560235206200693,-0.0070983886826422,-0.0071237021043871
2021Q1,23.20245901639344,1.3122015625,3.3518032786885246,0.27170630867629275,1.2094984931555568,-0.0553934426229508,-0.0569867795824865
2021Q2,18.0,1.5799553846153847,2.9324615384615385,0.45739660905498775,1.0758421858453444,-0.0931515625,-0.0977799459173772
2021Q3,18.28734375,1.3177303030303031,2.8875,0.2759107892161594,1.060391075847912,-0.0546468749999999,-0.0561967440396722
2021Q4,19.27515625,1.5288454545454546,2.959354838709677,0.4245128456745233,1.0849712846838795,-0.0642145161290322,-0.0663690126697267
2022Q1,25.372903225806454,1.945875,3.4130645161290323,0.6657117473738764,1.2276105728015885,-0.0702322580645161,-0.0728204638793443
2022Q2,27.3984375,2.9246215384615386,4.2101612903225805,1.0731650837522402,1.4375009582009513,-0.0669145161290322,-0.0692584597477831
2022Q3,24.792727272727273,3.0968575757575754,4.81140625,1.1303879121252554,1.57098940105627,-0.0465359374999999,-0.0476535447410977
2022Q4,25.00265625,3.815849230769231,4.675409836065573,1.3391632430490183,1.5423168243668295,-0.0303196721311476,-0.0307888206992665
2023Q1,20.6840625,3.647701538461538,4.345,1.294097253750336,1.4690257587173554,-0.0020709677419354,-0.0020731151609654
2023Q2,16.44125,3.5947661538461535,4.466349206349206,1.279478941448464,1.4965713425575344,-0.022047619047619,-0.0222943003654668
2023Q3,15.01323076923077,4.14002,3.804126984126984,1.4207006187434286,1.3360865258628378,0.002663492063492,0.0026599512543903
2023Q4,15.28625,4.4388415384615385,3.856451612903226,1.4903934276390405,1.3497474894191874,-0.0573774193548386,-0.0590893090769559
2024Q1,13.712539682539683,4.145561538461538,3.2079032258064513,1.422038253105504,1.1656175230300634,-0.0139180327868853,-0.014015796786912
2024Q2,13.980307692307692,4.4446125,3.0613846153846156,1.4916926885628423,1.1188673023099374,0.0282920634920635,0.0278992351371235
2024Q3,17.066666666666666,3.954684848484849,3.1584848484848487,1.3749009137171806,1.1500924342847507,0.002171875,0.0021695198888803
2024Q4,17.363230769230768,4.277640909090909,2.7493939393939395,1.4534016681682096,1.0113805017150574,-0.0121016129032258,-0.0121754335914338
2025Q1,18.52111111111111,4.4550015625,2.816984126984127,1.4940274116522285,1.0356668541549408,-0.0213819672131148,-0.0216138731694794
2025Q2,23.56140625,4.3559906250000004,3.4193846153846152,1.4715520528645414,1.2294605978618633,-0.0605693548387096,-0.0624812838633245
2025Q3,15.983030303030304,4.254410606060606,2.7627272727272727,1.4479562344662333,1.0162183341303312,-0.05203125,-0.0534337414054653
2025Q4,17.74523076923077,4.088889393939394,2.8086363636363636,1.408273391356445,1.0326990857145724,-0.0670693548387097,-0.0694244162018822
2026Q1,20.42904761904762,4.1879921875,2.789047619047619,1.4322214275576488,1.0257001823782679,-0.0717131147540983,-0.0744144503870225
2026Q2,18.3121875,4.416225,2.7006153846153844,1.4852852587637881,0.9934796672683344,-0.0693063492063491,-0.071825109782528
2026Q3,16.27785714285714,4.628478571428571,2.692439024390244,1.5322282118133361,0.9904474833259524,-0.0672428571428571,-0.0696104090628119
