quarter,country,EMBI_bps,CDS_bps
2008Q4,mexico,451.98387096774195,339.7612063492063
2009Q1,mexico,435.0655737704918,385.5108888888889
2009Q2,mexico,312.6666666666667,255.04844615384619
2009Q3,mexico,245.921875,174.56766666666667
2009Q4,mexico,212.30645161290323,147.21283333333335
2010Q1,mexico,188.0327868852459,127.969609375
2010Q2,mexico,193.5873015873016,126.20379999999999
2010Q3,mexico,192.421875,126.25716666666666
2010Q4,mexico,170.52459016393442,111.21922727272727
2011Q1,mexico,156.90322580645162,112.86073437499999
2011Q2,mexico,163.11111111111111,103.46721538461539
2011Q3,mexico,199.71875,144.14878787878789
2011Q4,mexico,226.08333333333334,160.2508
2012Q1,mexico,208.4516129032258,134.3484153846154
2012Q2,mexico,207.1904761904762,135.46016923076922
2012Q3,mexico,173.96825396825398,111.65115384615385
2012Q4,mexico,161.2,99.39277272727273
2013Q1,mexico,166.8360655737705,96.181609375
2013Q2,mexico,182.21875,100.39612307692309
2013Q3,mexico,203.15625,123.09918181818182
2013Q4,mexico,200.1639344262295,102.1823076923077
2014Q1,mexico,193.68852459016392,93.90607812500001
2014Q2,mexico,170.1904761904762,78.17863076923076
2014Q3,mexico,166.84375,75.4555606060606
2014Q4,mexico,200.52459016393442,89.514
2015Q1,mexico,234.2622950819672,115.835859375
2015Q2,mexico,224.296875,121.12884615384615
2015Q3,mexico,257.921875,142.30574242424242
2015Q4,mexico,288.56451612903226,157.96133333333333
2016Q1,mexico,344.55737704918033,188.46955384615384
2016Q2,mexico,298.53125,167.3872923076923
2016Q3,mexico,272.59375,146.05651515151516
2016Q4,mexico,297.0163934426229,163.0960923076923
2017Q1,mexico,282.3225806451613,151.60747692307694
2017Q2,mexico,252.65079365079364,118.41803076923078
2017Q3,mexico,244.46031746031747,105.74584615384614
2017Q4,mexico,243.24193548387098,106.77201538461539
2018Q1,mexico,237.88333333333333,103.8053076923077
2018Q2,mexico,268.90625,123.84913846153847
2018Q3,mexico,272.23809523809524,117.1362
2018Q4,mexico,310.08196721311475,140.84851515151516
2019Q1,mexico,319.0163934426229,132.618
2019Q2,mexico,311.93650793650795,117.78800000000001
2019Q3,mexico,331.296875,113.64301515151516
2019Q4,mexico,310.38709677419354,92.63828787878788
2020Q1,mexico,392.85483870967744,120.80486153846154
2020Q2,mexico,590.4920634920635,214.04296923076922
2020Q3,mexico,486.0625,135.48913636363636
2020Q4,mexico,434.4516129032258,102.84543939393939
2021Q1,mexico,362.0163934426229,94.609640625
2021Q2,mexico,340.77777777777777,96.0833076923077
2021Q3,mexico,356.328125,92.23601515151516
2021Q4,mexico,357.8709677419355,101.19845454545454
2022Q1,mexico,364.88709677419354,105.356203125
2022Q2,mexico,397.758064516129,140.7129846153846
2022Q3,mexico,441.890625,164.5224696969697
2022Q4,mexico,411.672131147541,150.15381538461537
2023Q1,mexico,378.38709677419354,122.79984615384615
2023Q2,mexico,397.3968253968254,114.60733846153846
2023Q3,mexico,368.1904761904762,106.38052307692308
2023Q4,mexico,366.9032258064516,108.46027692307692
2024Q1,mexico,335.0327868852459,89.38152307692307
2024Q2,mexico,308.9193548387097,98.81356923076922
2024Q3,mexico,325.9375,111.15107575757577
2024Q4,mexico,306.80645161290323,123.83980303030303
2025Q1,mexico,316.4590163934426,126.093
2025Q2,mexico,321.48387096774195,127.7136
2025Q3,mexico,250.171875,99.98171212121211
2025Q4,mexico,222.33870967741936,94.15272727272728
2026Q1,mexico,221.54098360655738,91.96724999999999
2026Q2,mexico,205.68253968253967,90.0528923076923
2026Q3,mexico,203.1818181818182,83.88880952380953
2006Q2,pakistan,,180.20833333333334
2006Q3,pakistan,,262.5
2007Q3,pakistan,,277.22066666666666
2007Q4,pakistan,,389.94780000000003
2026Q1,pakistan,,559.6936666666667
2026Q2,pakistan,,440.3753125
2026Q3,pakistan,,357.08628571428574
2000Q1,peru,446.2857142857143,
2000Q2,peru,553.1746031746031,
2000Q3,peru,544.7936507936508,
2000Q4,peru,726.3709677419355,
2001Q1,peru,648.6129032258065,
2001Q2,peru,729.3174603174604,
2001Q3,peru,635.2786885245902,
2001Q4,peru,592.2258064516129,
2002Q1,peru,458.3,
2002Q2,peru,500.640625,
2002Q3,peru,779.90625,
2002Q4,peru,704.6612903225806,
2003Q1,peru,546.9180327868852,
2003Q2,peru,432.6666666666667,
2003Q3,peru,420.515625,
2003Q4,peru,315.61290322580646,
2004Q1,peru,340.7096774193548,336.76584745762716
2004Q2,peru,427.3968253968254,480.1877096774193
2004Q3,peru,385.5,381.082953125
2004Q4,peru,302.35483870967744,258.0412153846154
2005Q1,peru,264.21311475409834,225.046234375
2005Q2,peru,264.765625,223.867359375
2005Q3,peru,211.859375,159.14767692307692
2005Q4,peru,216.18032786885246,173.878140625
2006Q1,peru,214.17741935483872,177.69784126984126
2006Q2,peru,206.9206349206349,188.42078461538463
2006Q3,peru,179.33333333333334,138.74767692307694
2006Q4,peru,142.19354838709677,104.19287692307692
2007Q1,peru,127.43548387096774,88.2634
2007Q2,peru,110.44444444444444,68.38843076923078
2007Q3,peru,151.61904761904762,103.98336923076923
2007Q4,peru,162.03225806451613,108.01621212121212
2008Q1,peru,208.01639344262296,153.1570923076923
2008Q2,peru,165.578125,104.25932307692307
2008Q3,peru,216.578125,142.67366153846154
2008Q4,peru,504.03225806451616,353.78652307692306
2009Q1,peru,428.8360655737705,382.134140625
2009Q2,peru,302.5238095238095,241.7885076923077
2009Q3,peru,246.703125,149.84407575757578
2009Q4,peru,188.69354838709677,128.64374242424242
2010Q1,peru,177.8360655737705,129.31125
2010Q2,peru,184.03174603174602,129.14395384615383
2010Q3,peru,169.75,115.76463636363637
2010Q4,peru,154.88524590163934,112.41959090909091
2011Q1,peru,149.91935483870967,114.631671875
2011Q2,peru,190.73015873015873,144.27836923076921
2011Q3,peru,203.546875,153.76436363636364
2011Q4,peru,219.9,167.84184615384615
2012Q1,peru,193.75806451612902,150.22678461538462
2012Q2,peru,177.76190476190476,145.51087692307692
2012Q3,peru,139.68253968253967,124.34301538461538
2012Q4,peru,115.8,100.69401515151516
2013Q1,peru,125.38333333333334,94.53109375
2013Q2,peru,147.484375,107.14090769230769
2013Q3,peru,182.59375,140.36804545454544
2013Q4,peru,177.29508196721312,133.37656923076923
2014Q1,peru,175.37704918032787,125.19840625
2014Q2,peru,149.4920634920635,95.1880923076923
2014Q3,peru,151.21875,88.49472727272727
2014Q4,peru,173.2295081967213,108.1243484848485
2015Q1,peru,189.63934426229508,128.998625
2015Q2,peru,173.34375,134.509
2015Q3,peru,212.546875,159.30369696969697
2015Q4,peru,227.5,180.51619696969695
2016Q1,peru,257.1475409836066,193.06001538461538
2016Q2,peru,209.296875,156.88816923076922
2016Q3,peru,171.484375,112.96834848484849
2016Q4,peru,159.7704918032787,109.16887692307692
2017Q1,peru,149.69354838709677,104.08413846153846
2017Q2,peru,144.3968253968254,95.1148923076923
2017Q3,peru,147.4920634920635,79.03110769230769
2017Q4,peru,138.2258064516129,74.4068
2018Q1,peru,133.8,73.0598
2018Q2,peru,155.421875,83.13746153846155
2018Q3,peru,146.65079365079364,80.68147692307693
2018Q4,peru,153.88524590163934,84.88613636363635
2019Q1,peru,142.39344262295083,74.762703125
2019Q2,peru,129.11111111111111,61.03393846153846
2019Q3,peru,119.84375,50.5555303030303
2019Q4,peru,123.41935483870968,52.07369696969697
2020Q1,peru,164.67741935483872,66.84472307692307
2020Q2,peru,226.1904761904762,100.98649230769232
2020Q3,peru,158.609375,75.5565
2020Q4,peru,146.88709677419354,61.746500000000005
2021Q1,peru,146.327868852459,64.96771875
2021Q2,peru,165.87301587301587,89.07343076923077
2021Q3,peru,175.859375,88.86675757575757
2021Q4,peru,175.16129032258064,90.66143939393939
2022Q1,peru,192.03225806451613,84.95821875
2022Q2,peru,207.90322580645162,109.89258461538462
2022Q3,peru,223.640625,129.98253846153847
2022Q4,peru,213.327868852459,136.23006153846154
2023Q1,peru,201.6290322580645,115.85152307692307
2023Q2,peru,193.46031746031747,95.45249230769231
2023Q3,peru,168.47619047619048,77.12572307692308
2023Q4,peru,172.83870967741936,83.75752307692306
2024Q1,peru,161.54098360655738,67.52526153846154
2024Q2,peru,156.19354838709677,74.58287692307692
2024Q3,peru,164.046875,76.82069696969697
2024Q4,peru,154.46774193548387,78.79695454545455
2025Q1,peru,159.49180327868854,83.483734375
2025Q2,peru,163.43548387096774,92.80152307692308
2025Q3,peru,132.671875,72.89786363636364
2025Q4,peru,125.01612903225806,67.7055606060606
2026Q1,peru,135.47540983606558,68.808296875
2026Q2,peru,118.12698412698413,69.7929076923077
2026Q3,peru,107.54545454545455,61.30530952380952
2004Q1,philippines,,479.926375
2004Q2,philippines,,504.249359375
2004Q3,philippines,,457.74733333333336
2004Q4,philippines,,487.57964615384617
2005Q1,philippines,,398.54384375
2005Q2,philippines,,403.65375384615385
2005Q3,philippines,,398.9168787878788
2005Q4,philippines,,309.79632307692304
2006Q1,philippines,,214.15133846153844
2006Q2,philippines,,200.54396923076922
2006Q3,philippines,,188.72552307692308
2006Q4,philippines,,136.51955384615385
2007Q1,philippines,,120.68736923076924
2007Q2,philippines,,106.16938461538462
2007Q3,philippines,,163.9396923076923
2007Q4,philippines,,153.58260606060605
2008Q1,philippines,,224.9494923076923
2008Q2,philippines,,218.00236923076923
2008Q3,philippines,,250.60875757575758
2008Q4,philippines,,449.325253968254
2009Q1,philippines,,395.833921875
2009Q2,philippines,,260.39944615384616
2009Q3,philippines,,193.0130606060606
2009Q4,philippines,,177.22616666666667
2010Q1,philippines,,177.273796875
2010Q2,philippines,,170.96053846153845
2010Q3,philippines,,151.41734848484847
2010Q4,philippines,,130.06266666666667
2011Q1,philippines,,135.244546875
2011Q2,philippines,,133.59166153846155
2011Q3,philippines,,163.23112121212122
2011Q4,philippines,,203.19261666666668
2012Q1,philippines,,163.11529411764704
2012Q2,philippines,,168.97054237288137
2012Q3,philippines,,147.71496226415096
2012Q4,philippines,,99.2705
2013Q1,philippines,,101.74163636363636
2013Q2,philippines,,101.6714909090909
2013Q3,philippines,,125.65011428571428
2013Q4,philippines,,103.82672222222222
2014Q1,philippines,,111.136625
2014Q2,philippines,,94.03687692307692
2014Q3,philippines,,87.37959090909091
2014Q4,philippines,,90.38938461538461
2015Q1,philippines,,93.3843064516129
2015Q2,philippines,,88.95818461538462
2015Q3,philippines,,108.31101538461539
2015Q4,philippines,,107.37383076923076
2016Q1,philippines,,118.63928125
2016Q2,philippines,,110.25035384615384
2016Q3,philippines,,97.70848484848486
2016Q4,philippines,,116.69574603174604
2017Q1,philippines,,90.81306349206349
2017Q2,philippines,,79.20627692307693
2017Q3,philippines,,67.96098461538462
2017Q4,philippines,,63.80692063492064
2018Q1,philippines,,62.726484375
2018Q2,philippines,,81.55870769230769
2018Q3,philippines,,79.31610769230768
2018Q4,philippines,,90.81525757575757
2019Q1,philippines,,70.78191379310344
2019Q2,philippines,,55.38708196721311
2019Q3,philippines,,47.80866666666667
2019Q4,philippines,,40.36630303030303
2020Q1,philippines,,59.579523076923074
2020Q2,philippines,,79.19015384615385
2020Q3,philippines,,52.6925909090909
2020Q4,philippines,,40.71089393939394
2021Q1,philippines,,40.026109375
2021Q2,philippines,,45.73356923076923
2021Q3,philippines,,47.31760606060606
2021Q4,philippines,,61.06787878787879
2022Q1,philippines,,79.028578125
2022Q2,philippines,,106.7698
2022Q3,philippines,,114.54339393939394
2022Q4,philippines,,113.87926153846153
2023Q1,philippines,,93.59944615384616
2023Q2,philippines,,88.47318461538461
2023Q3,philippines,88.8913043478261,76.29964615384615
2023Q4,philippines,85.75806451612904,75.74723076923077
2024Q1,philippines,79.27868852459017,62.67290625
2024Q2,philippines,74.95081967213115,66.1796923076923
2024Q3,philippines,82.0625,62.98490909090909
2024Q4,philippines,71.59677419354838,61.97721212121212
2025Q1,philippines,84.36065573770492,67.28853125
2025Q2,philippines,80.08064516129032,70.60293846153846
2025Q3,philippines,58.859375,59.57959090909091
2025Q4,philippines,60.854838709677416,60.40625757575758
2026Q1,philippines,71.8688524590164,65.538078125
2026Q2,philippines,71.96825396825396,74.3484
2026Q3,philippines,70.9090909090909,65.80921428571429
2000Q1,poland,225.33333333333334,
2000Q2,poland,274.5238095238095,
2000Q3,poland,265.06349206349205,
2000Q4,poland,252.06451612903226,
2001Q1,poland,220.61290322580646,
2001Q2,poland,179.0,
2001Q3,poland,209.39344262295083,
2001Q4,poland,225.3548387096774,
2002Q1,poland,186.66666666666666,
2002Q2,poland,179.203125,
2002Q3,poland,234.046875,
2002Q4,poland,182.17741935483872,
2003Q1,poland,163.19672131147541,
2003Q2,poland,102.60317460317461,
2003Q3,poland,51.671875,
2003Q4,poland,76.33870967741936,
2004Q1,poland,76.24193548387096,
2004Q2,poland,76.92063492063492,
2004Q3,poland,63.40625,
2004Q4,poland,56.82258064516129,
2005Q1,poland,48.18032786885246,
2005Q2,poland,56.03125,
2005Q3,poland,47.578125,
2005Q4,poland,53.032786885245905,
2006Q1,poland,57.82258064516129,
2006Q2,poland,61.0,
2006Q3,poland,64.22222222222223,
2006Q4,poland,53.83870967741935,
2007Q1,poland,51.74193548387097,
2007Q2,poland,52.04761904761905,
2007Q3,poland,68.6984126984127,
2007Q4,poland,72.64516129032258,
2008Q1,poland,107.70491803278688,
2008Q2,poland,104.1875,
2008Q3,poland,130.953125,
2008Q4,poland,291.11290322580646,
2009Q1,poland,311.3114754098361,
2009Q2,poland,249.23809523809524,
2009Q3,poland,184.359375,
2009Q4,poland,142.17741935483872,
2010Q1,poland,145.70491803278688,
2010Q2,poland,161.015873015873,
2010Q3,poland,170.890625,
2010Q4,poland,143.80327868852459,
2011Q1,poland,159.38709677419354,
2011Q2,poland,160.0952380952381,
2011Q3,poland,229.0,
2011Q4,poland,293.93333333333334,
2012Q1,poland,247.8709677419355,
2012Q2,poland,231.95238095238096,
2012Q3,poland,162.96825396825398,150.79916071428573
2012Q4,poland,122.36666666666666,90.234375
2013Q1,poland,120.65573770491804,86.39517741935484
2013Q2,poland,132.046875,80.37037037037037
2013Q3,poland,147.859375,87.14285714285714
2013Q4,poland,137.24590163934425,82.36538461538461
2014Q1,poland,119.24590163934427,77.66176470588235
2014Q2,poland,100.19047619047619,58.57142857142857
2014Q3,poland,95.71875,64.13793103448276
2014Q4,poland,97.42622950819673,65.81818181818181
2015Q1,poland,95.78688524590164,63.88095238095238
2015Q2,poland,89.234375,63.30555555555556
2015Q3,poland,103.671875,71.72340425531915
2015Q4,poland,96.20967741935483,78.5
2016Q1,poland,125.52459016393442,
2016Q2,poland,123.15625,
2016Q3,poland,93.640625,
2016Q4,poland,93.65573770491804,
2017Q1,poland,95.2258064516129,
2017Q2,poland,75.77777777777777,
2017Q3,poland,59.74603174603175,
2017Q4,poland,45.483870967741936,
2018Q1,poland,51.15,
2018Q2,poland,63.734375,
2018Q3,poland,61.6031746031746,
2018Q4,poland,65.78688524590164,
2019Q1,poland,58.540983606557376,
2019Q2,poland,47.44444444444444,
2019Q3,poland,34.125,
2019Q4,poland,29.080645161290324,
2020Q1,poland,49.483870967741936,
2020Q2,poland,83.71428571428571,
2020Q3,poland,31.5625,
2020Q4,poland,18.096774193548388,
