country,quarter,CR3_q,HHI_q,n_bancos
india,2009Q4,0.9145152056003976,4259.24224288726,6
india,2010Q1,0.9151096480907659,4212.726222407248,6
india,2010Q2,0.9095686188738206,4329.453437914219,6
india,2010Q3,0.9103806481295187,4268.215707494406,6
india,2010Q4,0.8305634627234926,3482.9769445919273,7
india,2011Q1,0.8317415831193348,3490.4971407077296,7
india,2011Q2,0.8266483627247393,3378.755514016902,7
india,2011Q3,0.8181526596926063,3327.1233074613765,7
india,2011Q4,0.835475443391789,3516.5131663546217,7
india,2012Q1,0.8342718480910405,3499.033456034199,7
india,2012Q2,0.8380248456277336,3515.9325715932723,7
india,2012Q3,0.8380248456277336,3515.9325715932723,7
india,2012Q4,0.8414507941462486,3639.469553594353,7
india,2013Q1,0.8435387832674908,3691.573555847368,7
india,2013Q2,0.8319849753010552,3609.5943148189576,8
india,2013Q3,0.8336926735816819,3655.254373864329,8
india,2013Q4,0.8376371428534867,3741.905146388347,8
india,2014Q1,0.8399993587141011,3809.333506341566,8
india,2014Q2,0.7752007037316956,3230.02614091846,9
india,2014Q3,0.7662821783542947,3183.794372948999,9
india,2014Q4,0.7647241887928891,3207.120308402455,9
india,2015Q1,0.7641855689517154,3222.7493305650796,9
india,2015Q2,0.7190438588000929,2895.528938866045,10
india,2015Q3,0.7106463286222664,2840.3045513635007,10
india,2015Q4,0.7121877072882357,2877.2511447078664,10
india,2016Q1,0.7125458274268054,2896.498950625989,10
india,2016Q2,0.7271524169789638,2988.608390043235,10
india,2016Q3,0.6893152891467191,2456.5584119323566,11
india,2016Q4,0.6954467386831994,2498.127313218498,11
india,2017Q1,0.7017401942478447,2649.8915792903013,11
india,2017Q2,0.707207266673209,2647.243893967466,11
india,2017Q3,0.6567967586906671,2227.2311568713817,11
india,2017Q4,0.6578425836676431,2227.582607439128,11
india,2018Q1,0.6575849115236266,2226.7528646730266,11
india,2018Q2,0.665258414277434,2258.8829967456413,11
india,2018Q3,0.6680615807514478,2174.9803562850793,11
india,2018Q4,0.650211111768559,2071.7186067085267,11
india,2019Q1,0.6463705998113027,2070.140084877459,11
india,2019Q2,0.652595661891778,2064.962826591626,11
india,2019Q3,0.5406565060207302,1557.1299042662697,12
india,2019Q4,0.5348515903501292,1519.6323077360291,13
india,2020Q1,0.5388121779708915,1529.5259528453082,13
india,2020Q2,0.5471328330188105,1553.7209281590376,13
india,2020Q3,0.5259823722619562,1499.3274942959672,13
