q,Ryr,spread_raw,iRyr,FCI,iRyr_noCDIFF,FCI_noCDIFF,country,cdiff_contrib,EMBI_bps,GaR,D
2008Q4,12.716333333333333,8.934814814814816,0.04709944960877659,0.8764294295817898,0.00017876886766588884,0.9259757904597397,colombia,0.04692068074111071,540.0483870967741,-0.0393191372900194,3.9319137290019404
2009Q1,,,0.06532806855674697,0.3808262262991412,0.00033393661374451903,0.41187035103660896,colombia,0.06499413194300245,487.8524590163934,-0.0551928811782582,5.51928811782582
2009Q2,,,0.06745236023434313,0.3878859469529813,0.004089512104808224,0.3645383563438855,colombia,0.06336284812953491,345.6031746031746,-0.0199038166836258,1.99038166836258
2009Q3,,,0.11544503946466898,0.38919423941339165,0.00017239527527448953,0.30696569674313623,colombia,0.1152726441893945,269.71875,-0.0200157506349266,2.00157506349266
2009Q4,,,0.49694332532558255,0.3340020957063039,0.000762499493722735,0.027525700211499412,colombia,0.4961808258318598,214.30645161290323,0.0075200839873897,-0.75200839873897
2010Q1,,,0.44001619022401756,0.2999591864243891,0.00039502106771791733,0.052210739513506785,colombia,0.4396211691562996,210.1967213114754,0.0211031014212277,-2.11031014212277
2010Q2,,,0.3363568630335724,0.5334899390596328,0.0013234412077249322,0.29549692353537654,colombia,0.33503342182584744,208.66666666666663,0.0078161307455223,-0.78161307455223
2010Q3,,,0.3424594527965775,0.29318639179012873,0.00047324801523363034,0.07304604766244027,colombia,0.3419862047813439,179.578125,0.0179884963766618,-1.7988496376661798
2010Q4,,,0.1903990125094859,0.3200947042735219,0.003350125842711386,0.17128127128084278,colombia,0.18704888666677452,156.8032786885246,0.036588565288422,-3.6588565288422
2011Q1,,,0.24085405992109368,0.5980097328458183,0.00106615466910975,0.3199735812641672,colombia,0.23978790525198393,150.90322580645162,0.0466104407168809,-4.66104407168809
2011Q2,,,0.2877029243710637,0.4645531169393301,0.0017238430122861151,0.17802236293508997,colombia,0.2859790813587776,147.7301587301587,0.0487305156879585,-4.87305156879585
2011Q3,,,0.23655202090995459,0.48213769051719296,0.002903117445918963,0.23255145240661496,colombia,0.23364890346403563,176.65625,0.0340501988773144,-3.4050198877314397
2011Q4,,,0.13736489288286874,0.36824465623552377,0.00048581142553829823,0.23636759758883513,colombia,0.13687908145733044,196.21666666666667,0.0439150176506854,-4.39150176506854
2012Q1,,,0.03688086410341166,0.24962693848212508,4.1996246807245135e-05,0.21673568470175003,colombia,0.03683886785660442,173.09677419354838,0.0507499171192235,-5.074991711922349
2012Q2,,,0.01524353390854037,0.5793068179589929,0.0008104690197662062,0.5599624100185037,colombia,0.014433064888774164,164.93650793650792,0.0286966315406003,-2.86966315406003
2012Q3,6.6124285714285715,4.985803571428571,0.023105171577540932,0.17617677381942165,0.004608520658941618,0.16200898666129238,colombia,0.018496650918599315,135.20634920634922,0.0156199520639408,-1.56199520639408
2012Q4,5.970396551724138,4.279068965517242,0.008798994909157767,0.07035001521595924,0.01129966568942998,0.07169352914719078,colombia,-0.002500670780272213,116.3,0.0192680680597681,-1.92680680597681
2013Q1,5.0178245614035095,3.0832807017543864,0.008255563537312835,0.051370168604480744,0.004943814826724137,0.049921136646396615,colombia,0.003311748710588698,128.26666666666668,0.0187015499672108,-1.87015499672108
2013Q2,5.697045454545455,3.692409090909091,0.16284513568690923,0.5199356646646044,0.01831190469902055,0.33507533685414514,colombia,0.14453323098788867,147.953125,0.0336379459394651,-3.3637945939465097
2013Q3,6.950434210526315,4.253855263157895,0.1056539973727012,0.19963698599712343,0.008111865369936576,0.12299019930747496,colombia,0.09754213200276463,177.375,0.0494626259639753,-4.9462625963975295
2013Q4,6.767285714285714,4.046349206349206,0.10487078909522501,0.25329224668891703,0.004156740369917553,0.16361797102341108,colombia,0.10071404872530747,176.8360655737705,0.0510362573943819,-5.10362573943819
2014Q1,7.019967213114755,4.268262295081967,0.07526148980377705,0.27472270877232907,0.006828029865566941,0.2097179434427519,colombia,0.06843345993821011,182.70491803278688,0.0526429857648474,-5.26429857648474
2014Q2,6.350084745762711,3.7371016949152542,0.09959470801304283,0.27804937324644663,0.0049504027279400585,0.1889183736321104,colombia,0.09464430528510277,153.25396825396825,0.0233145258790947,-2.33145258790947
2014Q3,6.578535211267606,4.088464788732394,0.08867836844968305,0.3974280504535506,0.006696841508874711,0.30257302148643295,colombia,0.08198152694080833,150.40625,0.0260636307506181,-2.60636307506181
2014Q4,6.777880597014925,4.515492537313433,0.01689463387922804,1.7086331958499335,0.006938315528886503,1.6916485945042234,colombia,0.009956318350341537,183.1475409836065,0.0002097569434473,-0.02097569434473
2015Q1,6.773451612903226,4.815903225806452,0.004926321458017628,1.2329872541573823,0.00730126656028606,1.236361316137391,colombia,-0.0023749451022684314,220.327868852459,0.0035103425120451,-0.35103425120451
2015Q2,6.935888888888889,4.774444444444445,0.07506392905737819,0.5777338983302349,0.003468554954972648,0.5088957905906153,colombia,0.07159537410240555,216.765625,0.0144238411067744,-1.44238411067744
2015Q3,7.535757575757576,5.321560606060606,0.08117236782861462,0.6734691662499953,0.009173301196455364,0.6213923774676703,colombia,0.07199906663215926,269.34375,0.009736374147584,-0.9736374147583999
2015Q4,8.0252,5.844784615384615,0.02753088160907568,1.3072975971716634,0.004309989898704601,1.306643997782503,colombia,0.02322089171037108,293.0806451612903,-0.006401870204972,0.6401870204972
2016Q1,8.531539682539682,6.627587301587302,0.016246515972195185,0.41994428475591483,0.007170568274199697,0.4183239159764336,colombia,0.009075947697995489,355.11475409836066,0.0081888216752538,-0.81888216752538
2016Q2,8.006435483870968,6.261467741935484,0.017991027844466354,0.35495133190689426,0.007243159304940501,0.3516108901761912,colombia,0.010747868539525854,286.15625,0.0038745053838025,-0.38745053838025
2016Q3,7.408633802816902,5.84769014084507,0.1255317239761615,0.39659814629143375,0.00753317352773276,0.3223409197824171,colombia,0.11799855044842873,238.046875,0.0005903404092874,-0.059034040928740004
2016Q4,8.767666666666667,6.620857142857143,0.2400538215230188,0.4479157852129735,0.005593935640679231,0.26669713412592905,colombia,0.23445988588233957,236.01639344262296,0.0064821439104429,-0.64821439104429
2017Q1,6.897227272727273,4.452803030303031,0.3306025953237938,0.41241898945260347,0.004881487178475039,0.16146461154188135,colombia,0.3257211081453188,201.4032258064516,-0.00459709931579,0.45970993157900003
2017Q2,6.371142857142857,4.112412698412698,0.31830438487515333,0.20281433041751865,0.004823457048543883,0.03034165138319505,colombia,0.31348092782660947,195.7142857142857,0.0027010617518904,-0.27010617518904
