country,quarter,CTOT_shock,CTOT_shock_dlog
poland,1998Q4,0.7041708104420552,-0.0054527204123846484
poland,1999Q1,0.6964431627315044,-0.007727647710550789
poland,1999Q2,0.7055181600973005,0.00907499736579609
poland,1999Q3,0.7202796849346099,0.014761524837309414
poland,1999Q4,0.7296336260843261,0.009353941149716216
poland,2000Q1,0.7404358702292552,0.01080224414492903
poland,2000Q2,0.7391343112226527,-0.0013015590066024485
poland,2000Q3,0.7434455672089977,0.004311255986344964
poland,2000Q4,0.7472855045396294,0.003839937330631704
poland,2001Q1,0.7433820731428802,-0.003903431396749202
poland,2001Q2,0.7386645634171471,-0.004717509725733038
poland,2001Q3,0.7334147613825699,-0.005249802034577256
poland,2001Q4,0.7133061509268699,-0.020108610455700004
poland,2002Q1,0.7206211984409475,0.007315047514077633
poland,2002Q2,0.7321621149602551,0.011540916519307554
poland,2002Q3,0.7411211483575715,0.008959033397316407
poland,2002Q4,0.7470325520067103,0.00591140364913878
poland,2003Q1,0.7598917160104675,0.012859164003757195
poland,2003Q2,0.7498577544013676,-0.010033961609099862
poland,2003Q3,0.7539953246084283,0.004137570207060737
poland,2003Q4,0.771979436824922,0.017984112216493653
poland,2004Q1,0.7911604044648761,0.01918096763995414
poland,2004Q2,0.7968045504065726,0.005644145941696488
poland,2004Q3,0.7965745684095082,-0.00022998199706436573
poland,2004Q4,0.7999023740847616,0.0033278056752533702
poland,2005Q1,0.8124686752010923,0.012566301116330725
poland,2005Q2,0.8171117079616567,0.004643032760564325
poland,2005Q3,0.827259699659692,0.010147991698035375
poland,2005Q4,0.8322993627030479,0.005039663043355902
poland,2006Q1,0.8436854814974727,0.011386118794424749
poland,2006Q2,0.8593124054442121,0.01562692394673937
poland,2006Q3,0.8611917768417197,0.001879371397507601
poland,2006Q4,0.8625858642701771,0.00139408742845748
poland,2007Q1,0.8661420329388279,0.0035561686686507166
poland,2007Q2,0.8828670509847332,0.016725018045905315
poland,2007Q3,0.8918321273779457,0.008965076393212534
poland,2007Q4,0.9113005619331978,0.019468434555252045
poland,2008Q1,0.9361268210697044,0.0248262591365066
poland,2008Q2,0.9596531294796965,0.023526308409992147
poland,2008Q3,0.9443381012308392,-0.015315028248857332
poland,2008Q4,0.8584108745390282,-0.08592722669181097
poland,2009Q1,0.8401747629099354,-0.018236111629092777
poland,2009Q2,0.8624814747112196,0.022306711801284185
poland,2009Q3,0.877069469380402,0.01458799466918237
poland,2009Q4,0.8907720526837175,0.01370258330331553
poland,2010Q1,0.8983440391105777,0.007571986426860189
poland,2010Q2,0.8960785820411872,-0.0022654570693905196
poland,2010Q3,0.902303661640223,0.006225079599035843
poland,2010Q4,0.9288936924358806,0.026590030795657582
poland,2011Q1,0.9528901810691812,0.023996488633300617
poland,2011Q2,0.9553016871965869,0.002411506127405705
poland,2011Q3,0.9509425110081318,-0.0043591761884551605
poland,2011Q4,0.9337170203412797,-0.017225490666852084
poland,2012Q1,0.9419263672332594,0.008209346891979719
poland,2012Q2,0.9357201659354091,-0.006206201297850322
poland,2012Q3,0.9398170559243827,0.004096889988973618
poland,2012Q4,0.9372984022939231,-0.0025186536304595553
poland,2013Q1,0.9376568981597813,0.00035849586585812165
poland,2013Q2,0.9256753554038044,-0.011981542755976848
poland,2013Q3,0.9237864598740602,-0.00188889552974425
poland,2013Q4,0.9226119987230226,-0.0011744611510375869
poland,2014Q1,0.9214146405027048,-0.0011973582203177457
poland,2014Q2,0.9223094348741845,0.0008947943714796569
poland,2014Q3,0.9124837901124397,-0.009825644761744745
poland,2014Q4,0.8925330875461168,-0.01995070256632292
poland,2015Q1,0.8666003798274762,-0.025932707718640646
poland,2015Q2,0.8672842399613742,0.0006838601338979844
poland,2015Q3,0.8479195314911627,-0.019364708470211434
poland,2015Q4,0.8337418243670626,-0.014177707124100158
poland,2016Q1,0.8223632803313872,-0.011378544035675398
poland,2016Q2,0.8460041142218457,0.023640833890458568
poland,2016Q3,0.8481894620326604,0.0021853478108146973
poland,2016Q4,0.8560632427003401,0.00787378066767963
poland,2017Q1,0.8653135155969269,0.009250272896586864
poland,2017Q2,0.8585823103086347,-0.006731205288292186
poland,2017Q3,0.8632681082350482,0.0046857979264134375
poland,2017Q4,0.87198663654918,0.00871852831413178
poland,2018Q1,0.8823541104345698,0.010367473885389833
poland,2018Q2,0.8894614423909267,0.007107331956356933
poland,2018Q3,0.8789582813565883,-0.01050316103433846
poland,2018Q4,0.871235030125063,-0.0077232512315252855
poland,2019Q1,0.8688588760075714,-0.0023761541174915912
poland,2019Q2,0.8706133789637124,0.0017545029561409908
poland,2019Q3,0.8627761864963844,-0.007837192467327947
poland,2019Q4,0.8672998298012804,0.0045236433048959634
poland,2020Q1,0.8555373364614403,-0.011762493339840141
poland,2020Q2,0.8255500702795264,-0.02998726618191383
poland,2020Q3,0.8533235643037198,0.02777349402419338
poland,2020Q4,0.8729331793792933,0.01960961507557346
poland,2021Q1,0.9052504728322446,0.03231729345295131
poland,2021Q2,0.9230957760963835,0.017845303264138912
poland,2021Q3,0.9287268739138457,0.005631097817462183
poland,2021Q4,0.9364199018837139,0.00769302796986826
poland,2022Q1,0.9622325673531125,0.025812665469398532
poland,2022Q2,0.9739354717248552,0.011702904371742706
poland,2022Q3,0.9526799383308173,-0.02125553339403785
poland,2022Q4,0.9421471337641512,-0.010532804566666165
poland,2023Q1,0.934316454594329,-0.007830679169822163
poland,2023Q2,0.9240633062858642,-0.010253148308464799
poland,2023Q3,0.9253491091186667,0.0012858028328025517
poland,2023Q4,0.9235545705982168,-0.001794538520449973
poland,2024Q1,0.9188222361373453,-0.004732334460871512
poland,2024Q2,0.9240009954899583,0.005178759352613027
poland,2024Q3,0.9170836302908394,-0.006917365199118897
poland,2024Q4,0.9181437188298911,0.0010600885390517067
poland,2025Q1,0.9178174942495523,-0.0003262245803388186
poland,2025Q2,0.9072953506958145,-0.010522143553737817
poland,2025Q3,0.9090156830755928,0.001720332379778311
poland,2025Q4,0.9102899213222924,0.0012742382466995883
poland,2026Q1,0.9317138620571669,0.021423940734874525
poland,2026Q2,0.949486436449732,0.017772574392565077
poland,2026Q3,0.9415257160811655,-0.007960720368566432
southafrica,1960Q1,0.9019774376301253,
southafrica,1960Q2,0.9019231294149024,-5.430821522289797e-05
southafrica,1960Q3,0.8990605707410058,-0.0028625586738966202
southafrica,1960Q4,0.8904927814485257,-0.008567789292480033
southafrica,1961Q1,0.8956093706898896,0.0051165892413638225
southafrica,1961Q2,0.9029073443646894,0.007297973674799896
southafrica,1961Q3,0.8968801276552545,-0.006027216709434957
southafrica,1961Q4,0.8951080470699209,-0.0017720805853336241
southafrica,1962Q1,0.8890180341041465,-0.006090012965774383
southafrica,1962Q2,0.8895845449108891,0.0005665108067426372
southafrica,1962Q3,0.8887511181127774,-0.0008334267981117138
southafrica,1962Q4,0.8896749880407344,0.0009238699279570106
southafrica,1963Q1,0.8945422519236204,0.004867263882885942
southafrica,1963Q2,0.9007692772853287,0.006227025361708383
southafrica,1963Q3,0.8990881149003074,-0.001681162385021362
southafrica,1963Q4,0.9070263715150788,0.007938256614771433
southafrica,1964Q1,0.9040738743498723,-0.0029524971652065135
southafrica,1964Q2,0.9127362594773438,0.008662385127471528
southafrica,1964Q3,0.9201267286657906,0.007390469188446769
southafrica,1964Q4,0.9396782910911778,0.019551562425387248
southafrica,1965Q1,0.9310905620219154,-0.008587729069262418
southafrica,1965Q2,0.9446299714117119,0.013539409389796475
southafrica,1965Q3,0.9320208840377675,-0.012609087373944394
southafrica,1965Q4,0.9430895193872988,0.011068635349531286
southafrica,1966Q1,0.9627640602906038,0.019674540903305004
southafrica,1966Q2,0.961038636820728,-0.0017254234698758086
southafrica,1966Q3,0.9436909156960547,-0.01734772112467331
southafrica,1966Q4,0.9380322636883254,-0.0056586520077293034
southafrica,1967Q1,0.9329379964758554,-0.005094267212469972
southafrica,1967Q2,0.9247909130050125,-0.00814708347084292
southafrica,1967Q3,0.9255186411085455,0.0007277281035330541
southafrica,1967Q4,0.9388416384973599,0.013322997388814373
southafrica,1968Q1,0.951300199438541,0.01245856094118114
southafrica,1968Q2,0.9280066557287132,-0.023293543709827835
southafrica,1968Q3,0.9203177375219684,-0.007688918206744777
southafrica,1968Q4,0.9228559138951515,0.0025381763731830986
southafrica,1969Q1,0.9333312623430063,0.010475348447854804
southafrica,1969Q2,0.9458415175962169,0.01251025525321059
southafrica,1969Q3,0.950619956395923,0.004778438799706075
southafrica,1969Q4,0.9580019513497424,0.007381994953819415
southafrica,1970Q1,0.9827446686809007,0.024742717331158293
southafrica,1970Q2,0.9819679970463038,-0.0007766716345969371
southafrica,1970Q3,0.967538060890226,-0.014429936156077794
southafrica,1970Q4,0.9616585940160614,-0.005879466874164629
southafrica,1971Q1,0.9866628729931801,0.025004278977118766
southafrica,1971Q2,0.9889177791277011,0.002254906134520951
southafrica,1971Q3,0.9937656549735713,0.004847875845870209
southafrica,1971Q4,0.9922068453308088,-0.0015588096427624487
southafrica,1972Q1,1.0061648410668182,0.013957995736009421
southafrica,1972Q2,1.0011375505170241,-0.005027290549794117
southafrica,1972Q3,0.9927686832993099,-0.008368867217714238
southafrica,1972Q4,1.0038203918763497,0.011051708577039854
southafrica,1973Q1,1.0649617948919206,0.061141403015570805
southafrica,1973Q2,1.1183268173749954,0.05336502248307484
southafrica,1973Q3,1.1757464424297517,0.057419625054756285
southafrica,1973Q4,1.2206207454194198,0.0448743029896681
southafrica,1974Q1,1.3583972989117523,0.13777655349233253
southafrica,1974Q2,1.3540885856649587,-0.004308713246793605
southafrica,1974Q3,1.3255664770122946,-0.028522108652664135
southafrica,1974Q4,1.3220782561613167,-0.0034882208509778856
southafrica,1975Q1,1.3090729657137126,-0.013005290447604123
southafrica,1975Q2,1.2904680800517419,-0.018604885661970716
southafrica,1975Q3,1.2879611872768115,-0.002506892774930325
southafrica,1975Q4,1.2744969887876123,-0.01346419848919922
southafrica,1976Q1,1.294783834928781,0.020286846141168713
southafrica,1976Q2,1.310515599384228,0.015731764455446884
southafrica,1976Q3,1.3280795233614269,0.01756392397719897
southafrica,1976Q4,1.3184502396997564,-0.009629283661670485
southafrica,1977Q1,1.3493688382065931,0.03091859850683676
southafrica,1977Q2,1.3531290622002778,0.003760223993684697
southafrica,1977Q3,1.331275429607118,-0.021853632593159755
southafrica,1977Q4,1.3397480614325556,0.00847263182543756
southafrica,1978Q1,1.3583877223231098,0.018639660890554133
southafrica,1978Q2,1.3669148600594831,0.00852713773637337
southafrica,1978Q3,1.372105456275126,0.005190596215642884
southafrica,1978Q4,1.3927165652665363,0.020611108991410276
southafrica,1979Q1,1.4529853505741444,0.06026878530760804
southafrica,1979Q2,1.506502313510102,0.05351696293595776
southafrica,1979Q3,1.5262309099195654,0.01972859640946334
southafrica,1979Q4,1.5546416584038927,0.02841074848432723
southafrica,1980Q1,1.579134054345547,0.02449239594165431
southafrica,1980Q2,1.5552075254838023,-0.023926528861744734
southafrica,1980Q3,1.5571451067573283,0.0019375812735260567
southafrica,1980Q4,1.5601106500833217,0.002965543325993414
southafrica,1981Q1,1.5427457686397228,-0.017364881443598934
southafrica,1981Q2,1.5177135160674826,-0.025032252572240177
southafrica,1981Q3,1.5042219765747153,-0.013491539492767268
southafrica,1981Q4,1.492092053706077,-0.012129922868638454
southafrica,1982Q1,1.4753322413863041,-0.01675981231977275
southafrica,1982Q2,1.4637288884416615,-0.011603352944642653
southafrica,1982Q3,1.4490699507348959,-0.014658937706765629
southafrica,1982Q4,1.4424913429933635,-0.006578607741532405
southafrica,1983Q1,1.4530236047321652,0.01053226173880173
southafrica,1983Q2,1.4821367367052725,0.029113131973107276
southafrica,1983Q3,1.5035318152862542,0.021395078580981775
