date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st,n_train
01/09/2012,SOUTHAFRICA,0.010087102300331621,0.0,0.006425295163991672,0.05449923093524429,0.027770465465797006,0.014041992654208479,0.03992654846213173,0.020513925330153077,0.983030191793097,0.008108536379170918,0.02850916327770781,0.01241030153784914,0.012410726479377883,-0.009023058893907508,126563465441120.6,-0.009022691607494625,1.2159460972397208e-05,445
01/09/2012,PHILIPPINES,0.0508628660006072,0.0,0.047500320802545105,0.089436147920651,0.06589673449070296,0.008935641286795016,0.03142859856939002,0.04751433026577414,1.3297375214881226,0.05086286596542752,0.06558143185451677,0.009748688122667827,0.010420410592466432,1.0437250667235851,9.430531159716795,0.7220699414641482,2.1584792766976625e-20,445
01/12/2012,BRAZIL,0.014957907691011317,0.0,0.006319518262991738,0.060746541633963966,0.03310042043700395,0.013430525606655143,0.04048472088582916,0.10035624870026616,1.1150114110350844,0.01363908743754327,0.0340953451080665,0.012469216034292734,0.012474067672536511,0.040194673217914055,119608823868813.7,0.04016224301531861,5.416485805430082e-06,460
01/12/2012,CHILE,0.036023417505552005,0.0,0.0294390547166497,0.0827350845901933,0.05487275393171945,0.013254306773416364,0.04037783158831716,0.09321858377356954,1.1467184372171375,0.03510289949510951,0.05552355584637451,0.01241451442145377,0.012420663836540481,0.04022864135006238,51696.542146642496,0.040196128925121984,2.643953122484306e-06,460
01/12/2012,COLOMBIA,0.019268068059768186,0.0,0.007138642004451426,0.06281503767594579,0.035491616021469344,0.013844516855640834,0.040281921754816624,0.11067674176073965,1.0319301003398467,0.016878421902728948,0.03739813160468804,0.012474459081943178,0.012474779700885915,-0.009023058885921819,3150786384072.41,-0.009022691599509913,1.8167185584515523e-05,460
01/12/2012,MEXICO,0.008481316620281988,0.0,0.001417599157309612,0.05400708188383792,0.02663924133629502,0.012708900815826344,0.039001125958279974,0.10959514785051715,1.1602711255122249,0.007608962428853697,0.027311374457876493,0.011977706527634687,0.011978015618088254,-0.009023058893759612,14627724832665.197,-0.009022691607346749,2.364355810510892e-06,460
01/12/2012,PERU,0.052446748139700614,0.0,0.04326472785010524,0.0944526495405418,0.06846609750011179,0.011363204264050249,0.03543021689334051,0.16288518661071857,1.183874328063803,0.05151371553545599,0.06936892225535349,0.01085483380731314,0.010855713856788308,0.01596292146580073,40230363.5456172,0.015960888059586068,2.7867340916170415e-06,460
01/12/2012,BULGARIA,-0.009102919053500538,0.3312728881572449,-0.018963090551792877,0.03425188890737415,0.007020146752050337,0.013248362302721453,0.038786505012552305,0.11398434779466772,1.0577789409416036,-0.01118854511420297,0.008549642133902465,0.0119995453769966,0.012004189951898121,-0.03488249971401802,136130865.9224375,-0.03486129674446383,1.3771443932905572e-05,460
01/12/2012,HUNGARY,-0.027760796719218554,0.6932301439488131,-0.037743891161030226,0.02212158570961401,-0.008113721428919122,0.01724419124738941,0.048307994441132165,0.036326853902156044,0.9695896000345955,-0.03083361907837177,-0.006068301964443099,0.015052295781019843,0.015052645676122927,-0.009023058893818926,141661240389385.72,-0.009022691607406055,2.9441984628055225e-05,460
01/12/2012,INDIA,0.04798149310057843,0.0,0.03877205402177544,0.09517010209461399,0.06665240667815564,0.014737464364970962,0.043196375875014466,0.07513954838267344,1.0573383448466003,0.04606890844272948,0.06806527376939593,0.013361103355608046,0.0133624307676599,0.015962875574468537,55427117871980.164,0.015960842185788925,1.1400423446011927e-05,460
01/12/2012,INDONESIA,0.048368736341632856,0.0,0.040184222678836416,0.08953724887920397,0.06381506864710888,0.010824069603076884,0.03388601083091325,0.17642394731263916,1.2020708925148769,0.04751094215066137,0.06457715844160275,0.010375420821428727,0.010376257272345027,0.015962875586738492,3414603999079.829,0.015960842198054197,2.3675235386333573e-06,460
01/12/2012,POLAND,-0.016084176329397012,0.4466089831001587,-0.02751984178897605,0.034905474676705434,0.0039685337108324404,0.018494712935860885,0.050981804396233205,0.02469226119541107,0.9344062767208858,-0.019755171330844222,0.006441411735494278,0.01592798181524515,0.015928420414987137,-0.009023058893803733,37443722868645.29,-0.009022691607390864,4.2073551767057095e-05,460
01/12/2012,SOUTHKOREA,0.019101618814165923,0.0,0.009493701692485068,0.0690752079194806,0.03931334822936336,0.0164595004304543,0.047381332724949564,0.04545302022878957,1.0188469553617119,0.016778526664664322,0.04095568122225567,0.014698175041347196,0.014698550941324677,-0.009022404740838014,2976961.2354207793,-0.009022037534298602,1.677957767097232e-05,460
01/12/2012,TURKEY,0.05677296521166293,0.0,0.04723701094893279,0.09908891243396599,0.07244409192735583,0.012387780599121354,0.03692710898882008,0.13514885517094427,1.095155330894785,0.05503268780952836,0.07377184347956071,0.011391814352865,0.011392746531800531,0.015962875574469987,31377347772473.36,0.015960842185790376,9.637303797528716e-06,460
01/12/2012,CHINA,0.06653597358780722,0.0,0.0564977552401215,0.11463285156774648,0.08562314633454193,0.015572651893827425,0.04507799820796915,0.06303020452112557,1.0288490084384974,0.06428579459792996,0.08726719291645618,0.013971210496755013,0.013976584779450135,-0.03487778021471363,435645.478764361,-0.034856585844865215,1.5790253537969932e-05,460
01/12/2012,SOUTHAFRICA,0.005887075077404234,0.03347950222196774,-0.0030216684067546247,0.052025717789148294,0.023926924684044747,0.014130910246099162,0.041621812397731946,0.0867389973599836,1.0698347852541297,0.004077289960570414,0.02524080399350576,0.012864342204465546,0.012864655162993944,-0.0090230588938122,10739681642405.234,-0.00902269160739933,1.0225266835278448e-05,460
01/12/2012,PHILIPPINES,0.05254740539998486,0.0,0.046128605078172104,0.09266927998025007,0.0679061821087713,0.00911264543853501,0.030631787354085123,0.23541452181679248,1.3683662594926356,0.05254740529314378,0.06805566201441847,0.009345197889885287,0.009693561854674305,-0.5332180650479078,27.491977561603377,-0.4705090457168034,1.4477173774144542e-20,460
01/03/2013,BRAZIL,0.01672828837327481,0.0,0.013273414434651484,0.06597223061757387,0.03458200134015884,0.013715784899466659,0.039013919455785154,0.018853426784633167,1.0309393972287062,0.015050262129465704,0.034996451776930476,0.012125997425488212,0.012130690460151337,-0.034882421100993204,21991569.195240166,-0.03486121827470393,8.819348081776305e-06,475
01/03/2013,CHILE,0.0319935529879284,0.0,0.026968276318529254,0.07867612482195803,0.04815148526301005,0.01378641301558445,0.03845453298428275,0.04825010149414802,0.9681658991671905,0.02956460296223888,0.04928592511876165,0.011990697833674404,0.011996791194793495,0.040194673218270166,4430724930480.287,0.04016224301567386,1.8361788649402585e-05,475
01/03/2013,COLOMBIA,0.018701549967210858,0.0,0.011576837158958029,0.06281310611897165,0.03315612236967208,0.014109362204719141,0.03849254794096722,0.07693788096734402,0.8882595302920918,0.015362678788953671,0.03517852286182039,0.012046986435370121,0.012047959138655234,0.015962875578595825,851268818451.2081,0.015960842189914642,3.517790760971607e-05,475
01/03/2013,MEXICO,-0.006985457732607232,0.22172079161724662,-0.011642812175464487,0.04363525167612054,0.011491012069467529,0.01512574851049397,0.042198352816212474,-0.0034111313418071594,0.9838892058329437,-0.009287815577750828,0.012355214853072729,0.013157567882520154,0.01316264870622632,-0.034880705310723806,1139847.7287543311,-0.034859505611142025,1.647873604218063e-05,475
01/03/2013,PERU,0.04146599771446105,0.0,0.040700409008979414,0.09499303542751056,0.06201421844030506,0.013796905863352173,0.04014456742627044,-0.03567108479139307,1.1193318508349475,0.040855163946987606,0.06130441345796756,0.012431841149835601,0.012432163263960414,-0.009023058856217417,72649781070.51262,-0.009022691569809138,2.196565283290915e-06,475
01/03/2013,BULGARIA,-0.011964271808911561,0.4741322757446027,-0.017146403269581743,0.032202918279727745,0.002307102565528727,0.013553046022286117,0.03674274456713652,0.0680328376357504,0.905124489409647,-0.015046888206599827,0.0038887331007636514,0.011511645470193723,0.011515952325782028,-0.034857006713187255,80860.03864197043,-0.03483585016846573,2.9787103986246654e-05,475
01/03/2013,HUNGARY,-0.016427649142250183,0.45671675370887516,-0.02023844479454976,0.03690989364533463,0.003321819102172996,0.016297124174022744,0.04472312385788799,-0.04422990961449152,0.9704279370306381,-0.01894710247282577,-65466.54423567292,,0.013983480574563258,-0.00902305889394728,8.458356132948577e+17,-0.009022691607534394,1.9819145969212423e-05,475
01/03/2013,INDIA,0.0493448156935054,0.0,0.042960334615655196,0.09694178942212647,0.06615768697447703,0.014598560663819274,0.04075221268593846,0.040505224520400354,0.9558060310198779,0.04669013827659652,0.06758929966168487,0.012705363928289568,0.012705679805905859,-0.009021031938843927,960752.7032462228,-0.009020664899888883,2.197492804109794e-05,475
01/03/2013,INDONESIA,0.04764628545609683,0.0,0.044399074918655045,0.09112555724363432,0.06212080327298698,0.011374579546979206,0.03265387497573475,0.11400774169310224,1.034869229143422,0.046024734347321884,0.06269433437890884,0.010134060935689138,0.010134872322286114,0.015964819685460003,949530.3600098458,0.015962785553848273,8.173008346259728e-06,475
01/03/2013,POLAND,-0.01591486505753488,0.469621696248805,-0.024212399924739003,0.035945665761241294,0.0025317669838235872,0.018384823428782622,0.04910497486374589,-0.019834987161873083,0.8702257674095625,-0.020290314287845525,0.005080486328758451,0.01542383784475082,0.015425088711942814,0.015962875468811408,254481205717.25555,0.01596084208017217,5.991205004413356e-05,475
01/03/2013,SOUTHKOREA,0.023277314359302803,0.0,0.016078220229913565,0.07188820036773395,0.04033599814785802,0.015948964925089563,0.043419643239894334,0.01609606061859286,0.9072900738848916,0.0198712510895123,0.04223195007734287,0.013593863555121098,0.01359912279588288,-0.03488214680461827,5604261.284068973,-0.03486094447820357,3.624792246444103e-05,475
01/03/2013,TURKEY,0.07540134696336889,0.0,0.07321727383515828,0.11724894279872398,0.08865524385036053,0.010645909742044442,0.030207552803742863,0.1335016082404939,1.024993862177723,0.07370280651237722,0.08915069222087668,0.009392645740457593,0.00939338081204189,0.015962875574571003,10370888737085.373,0.015960842185891354,8.979854449956495e-06,475
01/03/2013,CHINA,0.06597812625789991,0.0,0.0598816620582346,0.1164546262577033,0.08422325391833053,0.015996396853327228,0.043966409069563464,-0.0038968240211778196,0.9408647702325422,0.06303540418902946,0.08573608036402518,0.013743289823240313,0.013743290445018338,-0.009023058893882245,821923814380168.8,-0.009022691607469366,2.6915990792981346e-05,475
01/03/2013,SOUTHAFRICA,0.011657642144688795,0.0,0.007067312902947587,0.058122148548703095,0.027582490307966053,0.013664760942089297,0.03792579104731196,0.047009182603163,0.9643983039080445,0.009202323323686565,0.028701522428153076,0.011835682429813246,0.011835807101017967,-0.009023058893893644,174498434329199.94,-0.009022691607480765,1.8756371637199e-05,475
01/03/2013,PHILIPPINES,0.052895718796043795,0.0,0.052395507454521,0.09695316235156837,0.06798339544412951,0.00984714740234147,0.02961205501039761,0.1286129683041954,1.1751577037541276,0.0524886201808613,0.06749463303067553,0.009122704708724136,0.009123444545414614,0.015962875414693253,29848839995.579357,0.015960842026074694,7.280047374249615e-07,475
