country,quarter,GaR,ES,prob_neg,std,skew
mexico,2020Q1,-0.23273661436982748,-0.25955000423546803,0.8116869331441111,0.05079441794893244,-0.36446408827522736
mexico,2020Q2,-0.1367247752844213,-0.1442701463676758,0.9737540943930819,0.026541504940762742,0.2723078241930437
mexico,2020Q3,-0.06708422755172398,-0.0785394704903862,0.9241924915456474,0.01831374794621642,0.24553211655217425
mexico,2020Q4,-0.04180130439996865,-0.05270265896769478,0.7789211429963107,0.015332589963388028,0.1951084173890621
mexico,2021Q1,-0.03370793910513187,-0.04326889297973868,0.7334735489590676,0.014257453176274313,0.18928358990397604
mexico,2021Q2,0.06520241970445043,0.0513688917827528,0.0,0.005455347715227051,-0.5371422443971768
mexico,2021Q3,-0.007167008751582396,-0.020329126050396832,0.06927019820782836,0.011776165794764948,-0.010611942925520534
mexico,2021Q4,-0.007353020004500128,-0.017042520288244867,0.0900384388195474,0.011057409123504764,0.13139030460830636
mexico,2022Q1,-0.014515224556961151,-0.02608652979978113,0.1055432621336668,0.012669386187494037,0.00362977215701385
mexico,2022Q2,-0.032642070131873674,-0.04798873123728927,0.15109505550576643,0.01566716281039791,-0.04906357413786317
mexico,2022Q3,-0.04307277163126118,-0.06018944728314563,0.15446695578320307,0.017993052396424944,-0.15943375853514558
mexico,2022Q4,-0.01439382692152176,-0.026810690871855142,0.09562300880233521,0.013039257137856395,-0.0675368171036754
mexico,2023Q1,-0.011655891618750164,-0.02249541052566348,0.09515978465615155,0.012382235966669096,-0.026732603234368307
mexico,2023Q2,-0.005671776572536931,-0.014183602321149192,0.07958312965215433,0.011520753670586683,-0.04524383826133708
mexico,2023Q3,-0.012964779944589663,-0.023288375983367974,0.10133349280320951,0.01269478338438148,-0.05763168615455415
mexico,2023Q4,-0.0046499057569406935,-0.012394216494927758,0.08064850551009284,0.01106486286459334,0.019887395442377144
mexico,2024Q1,-0.004149422450193917,-0.011887972809120621,0.07972190657856357,0.010759869543096776,0.07808571367490563
mexico,2024Q2,-0.024377881452819678,-0.03442504230124028,0.15981473135696303,0.014597510158539868,-0.10833383461193614
mexico,2024Q3,-0.02285738684167834,-0.03245993235249498,0.19060134294102465,0.013895749463384224,-0.02436916102510467
mexico,2024Q4,-0.022968498596209273,-0.032481975032654556,0.25014849631629343,0.01352409315608159,0.049797414699721404
mexico,2025Q1,-0.022551241264201088,-0.03397816413982373,0.20459843324784227,0.013241980585283053,0.11164239726012734
mexico,2025Q2,-0.016402501461813535,-0.0252374738979394,0.2495204212352526,0.012148659070062951,0.14898596264772962
mexico,2025Q3,-0.014963292111921031,-0.023679624079946428,0.24299829167460524,0.011862848956399288,0.17037065676281382
mexico,2025Q4,-0.006747681204322235,-0.015129801676359182,0.09353328809042269,0.011081398177298732,0.09208290923697846
pakistan,2016Q3,0.024441205043019006,0.016399897152944834,0.0,0.008093076203240365,0.3886175987639584
pakistan,2016Q4,0.022610159489962485,0.013832900728373716,0.0,0.008859092672860327,0.23092509327792915
pakistan,2017Q1,0.02947890664788997,0.020885197290566686,0.0,0.00832864464683238,0.10101966359882315
pakistan,2017Q2,-0.014923089737467674,-0.02336336500518377,0.0970118882423144,0.01681037231209366,-0.30997339849940875
